DATA KONVOLUSI FUNGSI

Fungsi_1; Fungsi_2; Hasil; Waktu
0.00;0.00;0.00;-1.08
0.00;0.00;0.00;-1.00
0.00;0.08;0.00;-0.92
0.00;0.16;0.00;-0.84
0.00;0.24;0.00;-0.76
0.00;0.32;0.00;-0.68
0.00;0.40;0.00;-0.60
0.00;0.48;0.00;-0.52
0.00;0.56;0.00;-0.44
0.00;0.64;0.00;-0.36
0.00;0.72;0.00;-0.28
0.00;0.80;0.00;-0.20
0.00;0.88;0.00;-0.12
0.00;0.96;0.00;-0.04
0.00;0.96;0.00;0.04
0.00;0.88;0.00;0.12
0.00;0.80;0.01;0.20
0.00;0.72;0.02;0.28
0.00;0.64;0.05;0.36
0.00;0.56;0.09;0.44
0.00;0.48;0.15;0.52
0.00;0.40;0.22;0.60
0.00;0.32;0.33;0.68
0.00;0.24;0.46;0.76
0.00;0.16;0.62;0.84
0.00;0.08;0.81;0.92
0.00;0.00;1.04;1.00
0.04;0.00;1.27;1.08
0.08;0.00;1.54;1.16
0.12;0.00;1.84;1.24
0.16;0.00;2.17;1.32
0.20;0.00;2.53;1.40
0.24;0.00;2.91;1.48
0.28;0.00;3.31;1.56
0.32;0.00;3.73;1.64
0.36;0.00;4.17;1.72
0.40;0.00;4.62;1.80
0.44;0.00;5.07;1.88
0.48;0.00;5.53;1.96
0.52;0.00;5.99;2.04
0.56;0.00;6.41;2.12
0.60;0.00;6.74;2.20
0.64;0.00;6.99;2.28
0.68;0.00;7.15;2.36
0.72;0.00;7.21;2.44
0.76;0.00;7.17;2.52
0.80;0.00;7.03;2.60
0.84;0.00;6.79;2.68
0.88;0.00;6.44;2.76
0.92;0.00;5.98;2.84
0.96;0.00;5.41;2.92
1.00;0.00;4.72;3.00
0.00;0.00;4.95;3.08
0.00;0.00;4.22;3.16
0.00;0.00;3.54;3.24
0.00;0.00;2.91;3.32
0.00;0.00;2.34;3.40
0.00;0.00;1.81;3.48
0.00;0.00;1.35;3.56
0.00;0.00;0.95;3.64
0.00;0.00;0.62;3.72
0.00;0.00;0.35;3.80
0.00;0.00;0.16;3.88
0.00;0.00;0.04;3.96
0.00;0.00;0.00;4.04
0.00;0.00;0.00;4.12
0.00;0.00;0.00;4.20
0.00;0.00;0.00;4.28
0.00;0.00;0.00;4.36
0.00;0.00;0.00;4.44
0.00;0.00;0.00;4.52
0.00;0.00;0.00;4.60
0.00;0.00;0.00;4.68
0.00;0.00;0.00;4.76
0.00;0.00;0.00;4.84
0.00;0.00;0.00;4.92
0.00;0.00;0.00;5.00
0.00;0.00;0.00;5.08
0.00;0.00;0.00;5.16
0.00;0.00;0.00;5.24
0.00;0.00;0.00;5.32
0.00;0.00;0.00;5.40
0.00;0.00;0.00;5.48
0.00;0.00;0.00;5.56
0.00;0.00;0.00;5.64
0.00;0.00;0.00;5.72
0.00;0.00;0.00;5.80
0.00;0.00;0.00;5.88
0.00;0.00;0.00;5.96
0.00;0.00;0.00;6.04
0.00;0.00;0.00;6.12
0.00;0.00;0.00;6.20
0.00;0.00;0.00;6.28
0.00;0.00;0.00;6.36
0.00;0.00;0.00;6.44
0.00;0.00;0.00;6.52
0.00;0.00;0.00;6.60
0.00;0.00;0.00;6.68
0.00;0.00;0.00;6.76
0.00;0.00;0.00;6.84
0.00;0.00;0.00;6.92
0.00;0.00;0.00;7.00
