DATA TRANCKING VOLUME BAK BOCOR
Volum(m^3);Time(s)
0.000010;0.010
0.000019;0.020
0.000027;0.030
0.000036;0.040
0.000043;0.050
0.000051;0.060
0.000059;0.070
0.000066;0.080
0.000073;0.090
0.000080;0.100
0.000087;0.110
0.000094;0.120
0.000100;0.130
0.000107;0.140
0.000113;0.150
0.000119;0.160
0.000126;0.170
0.000132;0.180
0.000138;0.190
0.000143;0.200
0.000149;0.210
0.000155;0.220
0.000161;0.230
0.000166;0.240
0.000172;0.250
0.000177;0.260
0.000182;0.270
0.000188;0.280
0.000193;0.290
0.000198;0.300
0.000203;0.310
0.000208;0.320
0.000213;0.330
0.000218;0.340
0.000223;0.350
0.000227;0.360
0.000232;0.370
0.000237;0.380
0.000241;0.390
0.000246;0.400
0.000250;0.410
0.000255;0.420
0.000259;0.430
0.000264;0.440
0.000268;0.450
0.000272;0.460
0.000276;0.470
0.000281;0.480
0.000285;0.490
0.000289;0.500
0.000293;0.510
0.000297;0.520
0.000301;0.530
0.000305;0.540
0.000308;0.550
0.000312;0.560
0.000316;0.570
0.000320;0.580
0.000324;0.590
0.000327;0.600
0.000331;0.610
0.000335;0.620
0.000338;0.630
0.000342;0.640
0.000345;0.650
0.000349;0.660
0.000352;0.670
0.000355;0.680
0.000359;0.690
0.000362;0.700
0.000366;0.710
0.000369;0.720
0.000372;0.730
0.000375;0.740
0.000379;0.750
0.000382;0.760
0.000385;0.770
0.000388;0.780
0.000391;0.790
0.000394;0.800
0.000397;0.810
0.000400;0.820
0.000403;0.830
0.000406;0.840
0.000409;0.850
0.000412;0.860
0.000415;0.870
0.000418;0.880
0.000420;0.890
0.000423;0.900
0.000426;0.910
0.000429;0.920
0.000431;0.930
0.000434;0.940
0.000437;0.950
0.000440;0.960
0.000442;0.970
0.000445;0.980
0.000447;0.990
0.000450;1.000
0.000453;1.010
0.000455;1.020
0.000458;1.030
0.000460;1.040
0.000463;1.050
0.000465;1.060
0.000467;1.070
0.000470;1.080
0.000472;1.090
0.000475;1.100
0.000477;1.110
0.000479;1.120
0.000482;1.130
0.000484;1.140
0.000486;1.150
0.000488;1.160
0.000491;1.170
0.000493;1.180
0.000495;1.190
0.000497;1.200
0.000499;1.210
0.000502;1.220
0.000504;1.230
0.000506;1.240
0.000508;1.250
0.000510;1.260
0.000512;1.270
0.000514;1.280
0.000516;1.290
0.000518;1.300
0.000520;1.310
0.000522;1.320
0.000524;1.330
0.000526;1.340
0.000528;1.350
0.000530;1.360
0.000532;1.370
0.000534;1.380
0.000536;1.390
0.000538;1.400
0.000540;1.410
0.000541;1.420
0.000543;1.430
0.000545;1.440
0.000547;1.450
0.000549;1.460
0.000550;1.470
0.000552;1.480
0.000554;1.490
0.000556;1.500
0.000557;1.510
0.000559;1.520
0.000561;1.530
0.000562;1.540
0.000564;1.550
0.000566;1.560
0.000567;1.570
0.000569;1.580
0.000571;1.590
0.000572;1.600
0.000574;1.610
0.000576;1.620
0.000577;1.630
0.000579;1.640
0.000580;1.650
0.000582;1.660
0.000583;1.670
0.000585;1.680
0.000586;1.690
0.000588;1.700
0.000589;1.710
0.000591;1.720
0.000592;1.730
0.000594;1.740
0.000595;1.750
0.000597;1.760
0.000598;1.770
0.000599;1.780
0.000601;1.790
0.000602;1.800
0.000604;1.810
0.000605;1.820
0.000606;1.830
0.000608;1.840
0.000609;1.850
0.000610;1.860
0.000612;1.870
0.000613;1.880
0.000614;1.890
0.000616;1.900
0.000617;1.910
0.000618;1.920
0.000619;1.930
0.000621;1.940
0.000622;1.950
0.000623;1.960
0.000624;1.970
0.000626;1.980
0.000627;1.990
0.000628;2.000
0.000629;2.010
0.000631;2.020
0.000632;2.030
0.000633;2.040
0.000634;2.050
0.000635;2.060
0.000636;2.070
0.000638;2.080
0.000639;2.090
0.000640;2.100
0.000641;2.110
0.000642;2.120
0.000643;2.130
0.000644;2.140
0.000645;2.150
0.000646;2.160
0.000647;2.170
0.000649;2.180
0.000650;2.190
0.000651;2.200
0.000652;2.210
0.000653;2.220
0.000654;2.230
0.000655;2.240
0.000656;2.250
0.000657;2.260
0.000658;2.270
0.000659;2.280
0.000660;2.290
0.000661;2.300
0.000662;2.310
0.000663;2.320
0.000664;2.330
0.000665;2.340
0.000666;2.350
0.000667;2.360
0.000667;2.370
0.000668;2.380
0.000669;2.390
0.000670;2.400
0.000671;2.410
0.000672;2.420
0.000673;2.430
0.000674;2.440
0.000675;2.450
0.000676;2.460
0.000676;2.470
0.000677;2.480
0.000678;2.490
0.000679;2.500
0.000680;2.510
0.000681;2.520
0.000682;2.530
0.000682;2.540
0.000683;2.550
0.000684;2.560
0.000685;2.570
0.000686;2.580
0.000687;2.590
0.000687;2.600
0.000688;2.610
0.000689;2.620
0.000690;2.630
0.000690;2.640
0.000691;2.650
0.000692;2.660
0.000693;2.670
0.000694;2.680
0.000694;2.690
0.000695;2.700
0.000696;2.710
0.000697;2.720
0.000697;2.730
0.000698;2.740
0.000699;2.750
0.000699;2.760
0.000700;2.770
0.000701;2.780
0.000702;2.790
0.000702;2.800
0.000703;2.810
0.000704;2.820
0.000704;2.830
0.000705;2.840
0.000706;2.850
0.000706;2.860
0.000707;2.870
0.000708;2.880
0.000708;2.890
0.000709;2.900
0.000710;2.910
0.000710;2.920
0.000711;2.930
0.000712;2.940
0.000712;2.950
0.000713;2.960
0.000714;2.970
0.000714;2.980
0.000715;2.990
0.000715;3.000
0.000716;3.010
0.000717;3.020
0.000717;3.030
0.000718;3.040
0.000718;3.050
0.000719;3.060
0.000720;3.070
0.000720;3.080
0.000721;3.090
0.000721;3.100
0.000722;3.110
0.000722;3.120
0.000723;3.130
0.000724;3.140
0.000724;3.150
0.000725;3.160
0.000725;3.170
0.000726;3.180
0.000726;3.190
0.000727;3.200
0.000727;3.210
0.000728;3.220
0.000728;3.230
0.000729;3.240
0.000729;3.250
0.000730;3.260
0.000731;3.270
0.000731;3.280
0.000732;3.290
0.000732;3.300
0.000733;3.310
0.000733;3.320
0.000734;3.330
0.000734;3.340
0.000735;3.350
0.000735;3.360
0.000735;3.370
0.000736;3.380
0.000736;3.390
0.000737;3.400
0.000737;3.410
0.000738;3.420
0.000738;3.430
0.000739;3.440
0.000739;3.450
0.000740;3.460
0.000740;3.470
0.000741;3.480
0.000741;3.490
0.000741;3.500
0.000742;3.510
0.000742;3.520
0.000743;3.530
0.000743;3.540
0.000744;3.550
0.000744;3.560
0.000745;3.570
0.000745;3.580
0.000745;3.590
0.000746;3.600
0.000746;3.610
0.000747;3.620
0.000747;3.630
0.000747;3.640
0.000748;3.650
0.000748;3.660
0.000749;3.670
0.000749;3.680
0.000749;3.690
0.000750;3.700
0.000750;3.710
0.000751;3.720
0.000751;3.730
0.000751;3.740
0.000752;3.750
0.000752;3.760
0.000752;3.770
0.000753;3.780
0.000753;3.790
0.000754;3.800
0.000754;3.810
0.000754;3.820
0.000755;3.830
0.000755;3.840
0.000755;3.850
0.000756;3.860
0.000756;3.870
0.000756;3.880
0.000757;3.890
0.000757;3.900
0.000757;3.910
0.000758;3.920
0.000758;3.930
0.000758;3.940
0.000759;3.950
0.000759;3.960
0.000759;3.970
0.000760;3.980
0.000760;3.990
0.000760;4.000
0.000761;4.010
0.000761;4.020
0.000761;4.030
0.000762;4.040
0.000762;4.050
0.000762;4.060
0.000763;4.070
0.000763;4.080
0.000763;4.090
0.000763;4.100
0.000764;4.110
0.000764;4.120
0.000764;4.130
0.000765;4.140
0.000765;4.150
0.000765;4.160
0.000766;4.170
0.000766;4.180
0.000766;4.190
0.000766;4.200
0.000767;4.210
0.000767;4.220
0.000767;4.230
0.000768;4.240
0.000768;4.250
0.000768;4.260
0.000768;4.270
0.000769;4.280
0.000769;4.290
0.000769;4.300
0.000769;4.310
0.000770;4.320
0.000770;4.330
0.000770;4.340
0.000770;4.350
0.000771;4.360
0.000771;4.370
0.000771;4.380
0.000771;4.390
0.000772;4.400
0.000772;4.410
0.000772;4.420
0.000772;4.430
0.000773;4.440
0.000773;4.450
0.000773;4.460
0.000773;4.470
0.000774;4.480
0.000774;4.490
