t;h air
0;0.000000
1;0.100000
2;0.200000
3;0.300000
4;0.400000
5;0.500000
6;0.600000
7;0.700000
8;0.800000
9;0.900000
10;1.000.000
11;1.100.000
12;1.200.000
13;1.300.000
14;1.400.000
15;1.500.000
16;1.600.000
17;1.700.000
18;1.800.000
19;1.900.000
20;2.000.000
21;2.100.000
22;2.200.000
23;2.300.000
24;2.400.000
25;2.500.000
26;2.600.000
27;2.700.000
28;2.800.000
29;2.900.000
30;3.000.000
31;3.100.000
32;3.200.000
33;3.300.000
34;3.400.000
35;3.500.000
36;3.600.000
37;3.700.000
38;3.800.000
39;3.900.000
40;4.000.000
41;4.100.000
42;4.200.000
43;4.300.000
44;4.400.000
45;4.500.000
46;4.600.000
47;4.700.000
48;4.800.000
49;4.900.000
50;5.000.000
51;5.100.000
52;5.200.000
53;5.300.000
54;5.400.000
55;5.500.000
56;5.600.000
57;5.700.000
58;5.800.000
59;5.900.000
60;6.000.000
61;6.100.000
62;6.200.000
63;6.300.000
64;6.400.000
65;6.500.000
66;6.600.000
67;6.700.000
68;6.800.000
69;6.900.000
70;7.000.000
71;7.100.000
72;7.200.000
73;7.300.000
74;7.400.000
75;7.500.000
76;7.600.000
77;7.700.000
78;7.800.000
79;7.900.000
80;8.000.000
81;8.100.000
82;8.200.000
83;8.300.000
84;8.400.000
85;8.500.000
86;8.600.000
87;8.700.000
88;8.800.000
89;8.900.000
90;9.000.000
91;9.100.000
92;9.200.000
93;9.300.000
94;9.400.000
95;9.500.000
96;9.600.000
97;9.700.000
98;9.800.000
99;9.900.000
100;10.000.000
101;10.100.000
102;10.200.000
103;10.300.000
104;10.400.000
105;10.500.000
106;10.600.000
107;10.700.000
108;10.800.000
109;10.900.000
110;11.000.000
111;11.100.000
112;11.200.000
113;11.300.000
114;11.400.000
115;11.500.000
116;11.600.000
117;11.700.000
118;11.800.000
119;11.900.000
120;12.000.000
121;12.100.000
122;12.200.000
123;12.300.000
124;12.400.000
125;12.500.000
126;12.600.000
127;12.700.000
128;12.800.000
129;12.900.000
130;13.000.000
131;13.100.000
132;13.200.000
133;13.300.000
134;13.400.000
135;13.500.000
136;13.600.000
137;13.700.000
138;13.800.000
139;13.900.000
140;14.000.000
141;14.100.000
142;14.200.000
143;14.300.000
144;14.400.000
145;14.500.000
146;14.600.000
147;14.700.000
148;14.800.000
149;14.900.000
150;15.000.000
151;15.100.000
152;15.200.000
153;15.300.000
154;15.400.000
155;15.500.000
156;15.600.000
157;15.700.000
158;15.800.000
159;15.900.000
160;16.000.000
161;16.100.000
162;16.200.000
163;16.300.000
164;16.400.000
165;16.500.000
166;16.600.000
167;16.700.000
168;16.800.000
169;16.900.000
170;17.000.000
171;17.100.000
