x,f3
0,0
0.01,0
0.02,0.000001
0.03,0.000004
0.04,0.00001
0.05,0.00002
0.06,0.000035
0.07,0.000056
0.08,0.000084
0.09,0.00012
0.1,0.000165
0.11,0.00022
0.12,0.000286
0.13,0.000364
0.14,0.000455
0.15,0.00056
0.16,0.00068
0.17,0.000816
0.18,0.000969
0.19,0.00114
0.2,0.00133
0.21,0.00154
0.22,0.001771
0.23,0.002024
0.24,0.0023
0.25,0.0026
0.26,0.002925
0.27,0.003276
0.28,0.003654
0.29,0.00406
0.3,0.004495
0.31,0.00496
0.32,0.005456
0.33,0.005984
0.34,0.006545
0.35,0.00714
0.36,0.00777
0.37,0.008436
0.38,0.009139
0.39,0.00988
0.4,0.01066
0.41,0.01148
0.42,0.012341
0.43,0.013244
0.44,0.01419
0.45,0.01518
0.46,0.016215
0.47,0.017296
0.48,0.018424
0.49,0.0196
0.5,0.020825
0.51,0.0221
0.52,0.023426
0.53,0.024804
0.54,0.026235
0.55,0.02772
0.56,0.02926
0.57,0.030856
0.58,0.032509
0.59,0.03422
0.6,0.03599
0.61,0.03782
0.62,0.039711
0.63,0.041664
0.64,0.04368
0.65,0.04576
0.66,0.047905
0.67,0.050116
0.68,0.052394
0.69,0.05474
0.7,0.057155
0.71,0.05964
0.72,0.062196
0.73,0.064824
0.74,0.067525
0.75,0.0703
0.76,0.07315
0.77,0.076076
0.78,0.079079
0.79,0.08216
0.8,0.08532
0.81,0.08856
0.82,0.091881
0.83,0.095284
0.84,0.09877
0.85,0.10234
0.86,0.105995
0.87,0.109736
0.88,0.113564
0.89,0.11748
0.9,0.121485
0.91,0.12558
0.92,0.129766
0.93,0.134044
0.94,0.138415
0.95,0.14288
0.96,0.14744
0.97,0.152096
0.98,0.156849
0.99,0.1617
1,0.16665
1.01,0.1717
1.02,0.176849
1.03,0.182096
1.04,0.18744
1.05,0.19288
1.06,0.198415
1.07,0.204044
1.08,0.209766
1.09,0.21558
1.1,0.221485
1.11,0.22748
1.12,0.233564
1.13,0.239736
1.14,0.245995
1.15,0.25234
1.16,0.25877
1.17,0.265284
1.18,0.271881
1.19,0.27856
1.2,0.28532
1.21,0.29216
1.22,0.299079
1.23,0.306076
1.24,0.31315
1.25,0.3203
1.26,0.327525
1.27,0.334824
1.28,0.342196
1.29,0.34964
1.3,0.357155
1.31,0.36474
1.32,0.372394
1.33,0.380116
1.34,0.387905
1.35,0.39576
1.36,0.40368
1.37,0.411664
1.38,0.419711
1.39,0.42782
1.4,0.43599
1.41,0.44422
1.42,0.452509
1.43,0.460856
1.44,0.46926
1.45,0.47772
1.46,0.486235
1.47,0.494804
1.48,0.503426
1.49,0.5121
1.5,0.520825
1.51,0.5296
1.52,0.538424
1.53,0.547296
1.54,0.556215
1.55,0.56518
1.56,0.57419
1.57,0.583244
1.58,0.592341
1.59,0.60148
1.6,0.61066
1.61,0.61988
1.62,0.629139
1.63,0.638436
1.64,0.64777
1.65,0.65714
1.66,0.666545
1.67,0.675984
1.68,0.685456
1.69,0.69496
1.7,0.704495
1.71,0.71406
1.72,0.723654
1.73,0.733276
1.74,0.742925
1.75,0.7526
1.76,0.7623
1.77,0.772024
1.78,0.781771
1.79,0.79154
1.8,0.80133
1.81,0.81114
1.82,0.820969
1.83,0.830816
1.84,0.84068
1.85,0.85056
1.86,0.860455
1.87,0.870364
1.88,0.880286
1.89,0.89022
1.9,0.900165
1.91,0.91012
1.92,0.920084
1.93,0.930056
1.94,0.940035
1.95,0.95002
1.96,0.96001
1.97,0.970004
1.98,0.980001
1.99,0.99
2,1
2.01,1.01
2.02,1.019799
2.03,1.029396
2.04,1.03879
2.05,1.04798
2.06,1.056965
2.07,1.065744
2.08,1.074316
2.09,1.08268
2.1,1.090835
2.11,1.09878
2.12,1.106514
2.13,1.114036
2.14,1.121345
2.15,1.12844
2.16,1.13532
2.17,1.141984
2.18,1.148431
2.19,1.15466
2.2,1.16067
2.21,1.16646
2.22,1.172029
2.23,1.177376
2.24,1.1825
2.25,1.1874
2.26,1.192075
2.27,1.196524
2.28,1.200746
2.29,1.20474
2.3,1.208505
2.31,1.21204
2.32,1.215344
2.33,1.218416
2.34,1.221255
2.35,1.22386
2.36,1.22623
2.37,1.228364
2.38,1.230261
2.39,1.23192
2.4,1.23334
2.41,1.23452
2.42,1.235459
2.43,1.236156
2.44,1.23661
2.45,1.23682
2.46,1.236785
2.47,1.236504
2.48,1.235976
2.49,1.2352
2.5,1.234175
2.51,1.2329
2.52,1.231374
2.53,1.229596
2.54,1.227565
2.55,1.22528
2.56,1.22274
2.57,1.219944
2.58,1.216891
2.59,1.21358
2.6,1.21001
2.61,1.20618
2.62,1.202089
2.63,1.197736
2.64,1.19312
2.65,1.18824
2.66,1.183095
2.67,1.177684
2.68,1.172006
2.69,1.16606
2.7,1.159845
2.71,1.15336
2.72,1.146604
2.73,1.139576
2.74,1.132275
2.75,1.1247
2.76,1.11685
2.77,1.108724
2.78,1.100321
2.79,1.09164
2.8,1.08268
2.81,1.07344
2.82,1.063919
2.83,1.054116
2.84,1.04403
2.85,1.03366
2.86,1.023005
2.87,1.012064
2.88,1.000836
2.89,0.98932
2.9,0.977515
2.91,0.96542
2.92,0.953034
2.93,0.940356
2.94,0.927385
2.95,0.91412
2.96,0.90056
2.97,0.886704
2.98,0.872551
2.99,0.8581
3,0.84335
3.01,0.8283
3.02,0.813351
3.03,0.798504
3.04,0.78376
3.05,0.76912
3.06,0.754585
3.07,0.740156
3.08,0.725834
3.09,0.71162
3.1,0.697515
3.11,0.68352
3.12,0.669636
3.13,0.655864
3.14,0.642205
3.15,0.62866
3.16,0.61523
3.17,0.601916
3.18,0.588719
3.19,0.57564
3.2,0.56268
3.21,0.54984
3.22,0.537121
3.23,0.524524
3.24,0.51205
3.25,0.4997
3.26,0.487475
3.27,0.475376
3.28,0.463404
3.29,0.45156
3.3,0.439845
3.31,0.42826
3.32,0.416806
3.33,0.405484
3.34,0.394295
3.35,0.38324
3.36,0.37232
3.37,0.361536
3.38,0.350889
3.39,0.34038
3.4,0.33001
3.41,0.31978
3.42,0.309691
3.43,0.299744
3.44,0.28994
3.45,0.28028
3.46,0.270765
3.47,0.261396
3.48,0.252174
3.49,0.2431
3.5,0.234175
3.51,0.2254
3.52,0.216776
3.53,0.208304
3.54,0.199985
3.55,0.19182
3.56,0.18381
3.57,0.175956
3.58,0.168259
3.59,0.16072
3.6,0.15334
3.61,0.14612
3.62,0.139061
3.63,0.132164
3.64,0.12543
3.65,0.11886
3.66,0.112455
3.67,0.106216
3.68,0.100144
3.69,0.09424
3.7,0.088505
3.71,0.08294
3.72,0.077546
3.73,0.072324
3.74,0.067275
3.75,0.0624
3.76,0.0577
3.77,0.053176
3.78,0.048829
3.79,0.04466
3.8,0.04067
3.81,0.03686
3.82,0.033231
3.83,0.029784
3.84,0.02652
3.85,0.02344
3.86,0.020545
3.87,0.017836
3.88,0.015314
3.89,0.01298
3.9,0.010835
3.91,0.00888
3.92,0.007116
3.93,0.005544
3.94,0.004165
3.95,0.00298
3.96,0.00199
3.97,0.001196
3.98,0.000599
3.99,0.0002
4,0
4.01,0
4.02,0
4.03,0
4.04,0
4.05,0
4.06,0
4.07,0
4.08,0
4.09,0
4.1,0
4.11,0
4.12,0
4.13,0
4.14,0
4.15,0
4.16,0
4.17,0
4.18,0
4.19,0
4.2,0
4.21,0
4.22,0
4.23,0
4.24,0
4.25,0
