NO,Vc(V),Time(ms)
1,0.250,0.500
2,0.487,1.000
3,0.713,1.500
4,0.927,2.000
5,1.131,2.500
6,1.325,3.000
7,1.508,3.500
8,1.683,4.000
9,1.849,4.500
10,2.006,5.000
11,2.156,5.500
12,2.298,6.000
13,2.433,6.500
14,2.562,7.000
15,2.684,7.500
16,2.799,8.000
17,2.909,8.500
18,3.014,9.000
19,3.113,9.500
20,3.208,10.000
21,3.297,10.500
22,3.382,11.000
23,3.463,11.500
24,3.540,12.000
25,3.613,12.500
26,3.682,13.000
27,3.748,13.500
28,3.811,14.000
29,3.870,14.500
30,3.927,15.000
31,3.980,15.500
32,4.031,16.000
33,4.080,16.500
34,4.126,17.000
35,4.170,17.500
36,4.211,18.000
37,4.251,18.500
38,4.288,19.000
39,4.324,19.500
40,4.357,20.000
41,4.390,20.500
42,4.420,21.000
43,4.449,21.500
44,4.477,22.000
45,4.503,22.500
46,4.528,23.000
47,4.551,23.500
48,4.574,24.000
49,4.595,24.500
50,4.615,25.000
51,4.635,25.500
52,4.653,26.000
53,4.670,26.500
54,4.687,27.000
55,4.702,27.500
56,4.717,28.000
57,4.731,28.500
58,4.745,29.000
59,4.758,29.500
60,4.770,30.000
61,4.781,30.500
62,4.792,31.000
63,4.803,31.500
64,4.812,32.000
65,4.822,32.500
66,4.831,33.000
67,4.839,33.500
68,4.847,34.000
69,4.855,34.500
70,4.862,35.000
71,4.869,35.500
72,4.876,36.000
73,4.882,36.500
74,4.888,37.000
75,4.893,37.500
76,4.899,38.000
77,4.904,38.500
78,4.909,39.000
79,4.913,39.500
80,4.917,40.000
81,4.922,40.500
82,4.925,41.000
83,4.929,41.500
84,4.933,42.000
85,4.936,42.500
86,4.939,43.000
87,4.942,43.500
88,4.945,44.000
89,4.948,44.500
90,4.951,45.000
91,4.953,45.500
92,4.955,46.000
93,4.958,46.500
94,4.960,47.000
95,4.962,47.500
96,4.964,48.000
97,4.965,48.500
98,4.967,49.000
99,4.969,49.500
100,4.970,50.000
101,4.972,50.500
102,4.973,51.000
103,4.975,51.500
104,4.976,52.000
105,4.977,52.500
106,4.978,53.000
107,4.979,53.500
108,4.980,54.000
109,4.981,54.500
110,4.982,55.000
111,4.983,55.500
112,4.984,56.000
113,4.985,56.500
114,4.986,57.000
115,4.986,57.500
116,4.987,58.000
117,4.988,58.500
118,4.988,59.000
119,4.989,59.500
120,4.989,60.000
121,4.990,60.500
122,4.990,61.000
123,4.991,61.500
124,4.991,62.000
125,4.992,62.500
126,4.992,63.000
127,4.993,63.500
128,4.993,64.000
129,4.993,64.500
130,4.994,65.000
131,4.994,65.500
132,4.994,66.000
133,4.995,66.500
134,4.995,67.000
135,4.995,67.500
136,4.995,68.000
137,4.996,68.500
138,4.996,69.000
139,4.996,69.500
140,4.996,70.000
141,4.996,70.500
142,4.997,71.000
143,4.997,71.500
144,4.997,72.000
145,4.997,72.500
146,4.997,73.000
147,4.997,73.500
148,4.997,74.000
149,4.998,74.500
150,4.998,75.000
151,4.998,75.500
152,4.998,76.000
153,4.998,76.500
154,4.998,77.000
155,4.998,77.500
156,4.998,78.000
157,4.998,78.500
158,4.998,79.000
159,4.999,79.500
160,4.999,80.000
161,4.999,80.500
162,4.999,81.000
163,4.999,81.500
164,4.999,82.000
165,4.999,82.500
166,4.999,83.000
167,4.999,83.500
168,4.999,84.000
169,4.999,84.500
170,4.999,85.000
171,4.999,85.500
172,4.999,86.000
173,4.999,86.500
174,4.999,87.000
175,4.999,87.500
176,4.999,88.000
177,4.999,88.500
178,4.999,89.000
179,4.999,89.500
180,5.000,90.000
