x,h(x)
0.00,0.00 
0.05,0.00 
0.10,0.00 
0.15,0.01 
0.20,0.01 
0.25,0.02 
0.30,0.04 
0.35,0.07 
0.40,0.11 
0.45,0.15 
0.50,0.21 
0.55,0.28 
0.60,0.36 
0.65,0.46 
0.70,0.57 
0.75,0.70 
0.80,0.85 
0.85,1.02 
0.90,1.21 
0.95,1.43 
1.00,1.66 
1.05,1.93 
1.10,2.21 
1.15,2.52 
1.20,2.85 
1.25,3.20 
1.30,3.57 
1.35,3.96 
1.40,4.36 
1.45,4.78 
1.50,5.21 
1.55,5.65 
1.60,6.11 
1.65,6.57 
1.70,7.04 
1.75,7.53 
1.80,8.01 
1.85,8.51 
1.90,9.00 
1.95,9.50 
2.00,10.00 
2.05,10.45 
2.10,10.85 
2.15,11.20 
2.20,11.49 
2.25,11.73 
2.30,11.91 
2.35,12.03 
2.40,12.10 
2.45,12.10 
2.50,12.04 
2.55,11.93 
2.60,11.74 
2.65,11.50 
2.70,11.18 
2.75,10.80 
2.80,10.35 
2.85,9.83 
2.90,9.24 
2.95,8.58 
3.00,7.84 
3.05,7.13 
3.10,6.44 
3.15,5.78 
3.20,5.15 
3.25,4.55 
3.30,3.98 
3.35,3.45 
3.40,2.94 
3.45,2.48 
3.50,2.04 
3.55,1.65 
3.60,1.30 
3.65,0.98 
3.70,0.71 
3.75,0.48 
3.80,0.29 
3.85,0.15 
3.90,0.05 
3.95,0.00 
4.00,0.00 
4.05,0.00 
4.10,0.00 
4.15,0.00 
4.20,0.00 
4.25,0.00 
4.30,0.00 
4.35,0.00 
4.40,0.00 
4.45,0.00 
4.50,0.00 
4.55,0.00 
4.60,0.00 
4.65,0.00 
4.70,0.00 
4.75,0.00 
4.80,0.00 
4.85,0.00 
4.90,0.00 
4.95,0.00 
