t(s) , h(t)(dm)
0.000000 , 0.000000
0.100000 , 0.001000
0.200000 , 0.001912
0.300000 , 0.002791
0.400000 , 0.003644
0.500000 , 0.004476
0.600000 , 0.005291
0.700000 , 0.006089
0.800000 , 0.006872
0.900000 , 0.007642
1.000000 , 0.008399
1.100000 , 0.009145
1.200000 , 0.009879
1.300000 , 0.010603
1.400000 , 0.011317
1.500000 , 0.012022
1.600000 , 0.012717
1.700000 , 0.013404
1.800000 , 0.014083
1.900000 , 0.014753
2.000000 , 0.015416
2.100000 , 0.016071
2.200000 , 0.016719
2.300000 , 0.017360
2.400000 , 0.017994
2.500000 , 0.018622
2.600000 , 0.019243
2.700000 , 0.019858
2.800000 , 0.020466
2.900000 , 0.021069
3.000000 , 0.021666
3.100000 , 0.022257
3.200000 , 0.022843
3.300000 , 0.023423
3.400000 , 0.023998
3.500000 , 0.024568
3.600000 , 0.025133
3.700000 , 0.025693
3.800000 , 0.026248
3.900000 , 0.026798
4.000000 , 0.027343
4.100000 , 0.027884
4.200000 , 0.028420
4.300000 , 0.028952
4.400000 , 0.029480
4.500000 , 0.030003
4.600000 , 0.030522
4.700000 , 0.031037
4.800000 , 0.031548
4.900000 , 0.032054
5.000000 , 0.032557
5.100000 , 0.033056
5.200000 , 0.033551
5.300000 , 0.034043
5.400000 , 0.034530
5.500000 , 0.035014
5.600000 , 0.035495
5.700000 , 0.035972
5.800000 , 0.036445
5.900000 , 0.036915
6.000000 , 0.037381
6.100000 , 0.037844
6.200000 , 0.038304
6.300000 , 0.038761
6.400000 , 0.039214
6.500000 , 0.039664
6.600000 , 0.040111
6.700000 , 0.040555
6.800000 , 0.040996
6.900000 , 0.041434
7.000000 , 0.041868
7.100000 , 0.042300
7.200000 , 0.042729
7.300000 , 0.043155
7.400000 , 0.043578
7.500000 , 0.043999
7.600000 , 0.044416
7.700000 , 0.044831
7.800000 , 0.045243
7.900000 , 0.045652
8.000000 , 0.046059
8.100000 , 0.046463
8.200000 , 0.046865
8.300000 , 0.047263
8.400000 , 0.047660
8.500000 , 0.048054
8.600000 , 0.048445
8.700000 , 0.048834
8.800000 , 0.049220
8.900000 , 0.049604
9.000000 , 0.049986
9.100000 , 0.050365
9.200000 , 0.050742
