time, area
-1.0,0.000
-0.9,0.000
-0.8,0.000
-0.7,0.000
-0.6,0.000
-0.5,0.000
-0.4,0.000
-0.3,0.000
-0.2,0.000
-0.1,0.000
0.0,0.000
0.1,0.005
0.2,0.016
0.3,0.032
0.4,0.055
0.5,0.085
0.6,0.123
0.7,0.168
0.8,0.222
0.9,0.285
1.0,0.358
1.1,0.430
1.2,0.502
1.3,0.573
1.4,0.643
1.5,0.710
1.6,0.775
1.7,0.837
1.8,0.896
1.9,0.950
2.0,1.000
2.1,1.050
2.2,1.085
2.3,1.103
2.4,1.105
2.5,1.090
2.6,1.058
2.7,1.007
2.8,0.938
2.9,0.850
3.0,0.743
3.1,0.615
3.2,0.498
3.3,0.392
3.4,0.298
3.5,0.215
3.6,0.145
3.7,0.088
3.8,0.045
3.9,0.015
4.0,0.000
4.1,0.000
4.2,0.000
4.3,0.000
4.4,0.000
4.5,0.000
4.6,0.000
4.7,0.000
4.8,0.000
4.9,0.000
5.0,0.000
