X,Vc
0.1,0.049505
0.2,0.09852
0.3,0.147049
0.4,0.195098
0.5,0.242672
0.6,0.289774
0.7,0.33641
0.8,0.382584
0.9,0.428301
1,0.473565
1.1,0.518381
1.2,0.562754
1.3,0.606687
1.4,0.650185
1.5,0.693253
1.6,0.735894
1.7,0.778113
1.8,0.819913
1.9,0.8613
2,0.902278
2.1,0.942849
2.2,0.983019
2.3,1.022791
2.4,1.062169
2.5,1.101158
2.6,1.13976
2.7,1.17798
2.8,1.215822
2.9,1.253289
3,1.290385
3.1,1.327114
3.2,1.363479
3.3,1.399485
3.4,1.435133
3.5,1.470429
3.6,1.505375
3.7,1.539975
3.8,1.574233
3.9,1.608152
4,1.641734
4.1,1.674984
4.2,1.707905
4.3,1.7405
4.4,1.772773
4.5,1.804725
4.6,1.836362
4.7,1.867685
4.8,1.898698
4.9,1.929404
5,1.959806
5.1,1.989907
5.2,2.01971
5.3,2.049218
5.4,2.078433
5.5,2.10736
5.6,2.136
5.7,2.164356
5.8,2.192432
5.9,2.220229
6,2.247752
6.1,2.275002
6.2,2.301982
6.3,2.328695
6.4,2.355144
6.5,2.38133
6.6,2.407258
6.7,2.432929
6.8,2.458345
6.9,2.48351
7,2.508426
7.1,2.533095
7.2,2.55752
7.3,2.581703
7.4,2.605646
7.5,2.629353
7.6,2.652824
7.7,2.676064
7.8,2.699073
7.9,2.721854
8,2.74441
8.1,2.766743
8.2,2.788854
8.3,2.810747
8.4,2.832423
8.5,2.853884
8.6,2.875132
8.7,2.896171
8.8,2.917001
8.9,2.937625
9,2.958044
9.1,2.978261
9.2,2.998279
9.3,3.018098
9.4,3.03772
9.5,3.057149
9.6,3.076385
9.7,3.095431
9.8,3.114288
9.9,3.132958
10,3.151444
10.1,3.169746
10.2,3.187868
10.3,3.20581
10.4,3.223574
10.5,3.241162
10.6,3.258577
10.7,3.275818
10.8,3.292889
10.9,3.309792
11,3.326526
11.1,3.343095
11.2,3.3595
11.3,3.375743
11.4,3.391825
11.5,3.407747
11.6,3.423512
11.7,3.439121
11.8,3.454575
11.9,3.469876
12,3.485026
12.1,3.500026
12.2,3.514877
12.3,3.529581
12.4,3.54414
12.5,3.558554
12.6,3.572826
12.7,3.586956
12.8,3.600947
12.9,3.614799
13,3.628514
