t,y
0.000000,0.000000
0.001000,0.000000
0.002000,0.000000
0.003000,0.000000
0.004000,0.000000
0.005000,0.000000
0.006000,0.000000
0.007000,0.000000
0.008000,0.000000
0.009000,0.000000
0.010000,0.000000
0.011000,0.000000
0.012000,0.000000
0.013000,0.000000
0.014000,0.000000
0.015000,0.000000
0.016000,0.000000
0.017000,0.000000
0.018000,0.000000
0.019000,0.000000
0.020000,0.000001
0.021000,0.000001
0.022000,0.000001
0.023000,0.000001
0.024000,0.000001
0.025000,0.000001
0.026000,0.000001
0.027000,0.000002
0.028000,0.000002
0.029000,0.000002
0.030000,0.000002
0.031000,0.000002
0.032000,0.000003
0.033000,0.000003
0.034000,0.000003
0.035000,0.000004
0.036000,0.000004
0.037000,0.000004
0.038000,0.000004
0.039000,0.000005
0.040000,0.000005
0.041000,0.000006
0.042000,0.000006
0.043000,0.000007
0.044000,0.000007
0.045000,0.000008
0.046000,0.000008
0.047000,0.000009
0.048000,0.000009
0.049000,0.000009
0.050000,0.000010
0.051000,0.000011
0.052000,0.000012
0.053000,0.000012
0.054000,0.000013
0.055000,0.000014
0.056000,0.000015
0.057000,0.000015
0.058000,0.000016
0.059000,0.000017
0.060000,0.000018
0.061000,0.000019
0.062000,0.000020
0.063000,0.000021
0.064000,0.000022
0.065000,0.000023
0.066000,0.000024
0.067000,0.000025
0.068000,0.000026
0.069000,0.000027
0.070000,0.000028
0.071000,0.000029
0.072000,0.000031
0.073000,0.000032
0.074000,0.000034
0.075000,0.000035
0.076000,0.000036
0.077000,0.000038
0.078000,0.000039
0.079000,0.000041
0.080000,0.000042
0.081000,0.000044
0.082000,0.000046
0.083000,0.000047
0.084000,0.000049
0.085000,0.000051
0.086000,0.000053
0.087000,0.000055
0.088000,0.000056
0.089000,0.000058
0.090000,0.000060
0.091000,0.000062
0.092000,0.000065
0.093000,0.000067
0.094000,0.000069
0.095000,0.000071
0.096000,0.000074
0.097000,0.000076
0.098000,0.000078
0.099000,0.000080
0.100000,0.000083
0.101000,0.000085
0.102000,0.000088
0.103000,0.000091
0.104000,0.000094
0.105000,0.000096
0.106000,0.000099
0.107000,0.000102
0.108000,0.000105
0.109000,0.000107
0.110000,0.000110
0.111000,0.000113
0.112000,0.000117
0.113000,0.000120
0.114000,0.000123
0.115000,0.000127
0.116000,0.000130
0.117000,0.000133
0.118000,0.000136
0.119000,0.000140
0.120000,0.000143
0.121000,0.000147
0.122000,0.000151
0.123000,0.000155
0.124000,0.000159
0.125000,0.000163
0.126000,0.000166
0.127000,0.000170
0.128000,0.000174
0.129000,0.000178
0.130000,0.000182
0.131000,0.000187
0.132000,0.000191
0.133000,0.000196
0.134000,0.000200
0.135000,0.000205
0.136000,0.000209
0.137000,0.000214
0.138000,0.000218
0.139000,0.000223
0.140000,0.000228
0.141000,0.000233
0.142000,0.000238
0.143000,0.000243
0.144000,0.000249
0.145000,0.000254
0.146000,0.000259
0.147000,0.000264
0.148000,0.000270
0.149000,0.000275
0.150000,0.000280
0.151000,0.000286
0.152000,0.000292
0.153000,0.000298
0.154000,0.000304
0.155000,0.000310
0.156000,0.000316
0.157000,0.000322
0.158000,0.000328
0.159000,0.000334
0.160000,0.000340
0.161000,0.000347
0.162000,0.000354
0.163000,0.000360
0.164000,0.000367
0.165000,0.000374
0.166000,0.000381
0.167000,0.000388
0.168000,0.000394
0.169000,0.000401
0.170000,0.000408
0.171000,0.000416
0.172000,0.000423
0.173000,0.000431
0.174000,0.000439
0.175000,0.000446
0.176000,0.000454
0.177000,0.000462
0.178000,0.000469
0.179000,0.000477
0.180000,0.000485
0.181000,0.000493
0.182000,0.000502
0.183000,0.000510
0.184000,0.000519
0.185000,0.000527
0.186000,0.000536
0.187000,0.000544
0.188000,0.000553
0.189000,0.000561
0.190000,0.000570
0.191000,0.000580
0.192000,0.000589
0.193000,0.000599
0.194000,0.000608
0.195000,0.000618
0.196000,0.000627
0.197000,0.000637
0.198000,0.000646
0.199000,0.000656
0.200000,0.000665
0.201000,0.000676
0.202000,0.000686
0.203000,0.000697
0.204000,0.000707
0.205000,0.000718
0.206000,0.000728
0.207000,0.000739
0.208000,0.000749
0.209000,0.000760
0.210000,0.000770
0.211000,0.000782
0.212000,0.000793
0.213000,0.000805
0.214000,0.000816
0.215000,0.000828
0.216000,0.000839
0.217000,0.000851
0.218000,0.000862
0.219000,0.000874
0.220000,0.000886
0.221000,0.000898
0.222000,0.000911
0.223000,0.000923
0.224000,0.000936
0.225000,0.000949
0.226000,0.000961
0.227000,0.000974
0.228000,0.000987
0.229000,0.000999
0.230000,0.001012
0.231000,0.001026
0.232000,0.001040
0.233000,0.001053
0.234000,0.001067
0.235000,0.001081
0.236000,0.001095
0.237000,0.001109
0.238000,0.001122
0.239000,0.001136
0.240000,0.001150
0.241000,0.001165
0.242000,0.001180
0.243000,0.001195
0.244000,0.001210
0.245000,0.001225
0.246000,0.001240
0.247000,0.001255
0.248000,0.001270
0.249000,0.001285
0.250000,0.001300
0.251000,0.001316
0.252000,0.001333
0.253000,0.001349
0.254000,0.001365
0.255000,0.001381
0.256000,0.001398
0.257000,0.001414
0.258000,0.001430
0.259000,0.001446
0.260000,0.001463
0.261000,0.001480
0.262000,0.001498
0.263000,0.001515
0.264000,0.001533
0.265000,0.001550
0.266000,0.001568
0.267000,0.001585
0.268000,0.001603
0.269000,0.001620
0.270000,0.001638
0.271000,0.001657
0.272000,0.001676
0.273000,0.001695
0.274000,0.001714
0.275000,0.001733
0.276000,0.001751
0.277000,0.001770
0.278000,0.001789
0.279000,0.001808
0.280000,0.001827
0.281000,0.001847
0.282000,0.001868
0.283000,0.001888
0.284000,0.001908
0.285000,0.001928
0.286000,0.001949
0.287000,0.001969
0.288000,0.001989
0.289000,0.002010
0.290000,0.002030
0.291000,0.002052
0.292000,0.002073
0.293000,0.002095
0.294000,0.002117
0.295000,0.002139
0.296000,0.002160
0.297000,0.002182
0.298000,0.002204
0.299000,0.002226
0.300000,0.002247
0.301000,0.002271
0.302000,0.002294
0.303000,0.002317
0.304000,0.002340
0.305000,0.002364
0.306000,0.002387
0.307000,0.002410
0.308000,0.002433
0.309000,0.002457
0.310000,0.002480
0.311000,0.002505
0.312000,0.002530
0.313000,0.002554
0.314000,0.002579
0.314999,0.002604
0.315999,0.002629
0.316999,0.002654
0.317999,0.002678
0.318999,0.002703
0.319999,0.002728
0.320999,0.002754
0.321999,0.002781
0.322999,0.002807
0.323999,0.002834
0.324999,0.002860
0.325999,0.002886
0.326999,0.002913
0.327999,0.002939
0.328999,0.002966
0.329999,0.002992
0.330999,0.003020
0.331999,0.003048
0.332999,0.003076
0.333999,0.003104
0.334999,0.003132
0.335999,0.003160
0.336999,0.003188
0.337999,0.003216
0.338999,0.003244
0.339999,0.003272
0.340999,0.003302
0.341999,0.003332
0.342999,0.003362
0.343999,0.003391
0.344999,0.003421
0.345999,0.003451
0.346999,0.003481
0.347999,0.003510
0.348999,0.003540
0.349999,0.003570
0.350999,0.003601
0.351999,0.003633
0.352999,0.003664
0.353999,0.003696
0.354999,0.003727
0.355999,0.003759
0.356999,0.003790
0.357999,0.003822
0.358999,0.003853
0.359999,0.003885
0.360999,0.003918
0.361999,0.003952
0.362999,0.003985
0.363999,0.004018
0.364999,0.004051
0.365999,0.004085
0.366999,0.004118
0.367999,0.004151
0.368999,0.004185
0.369999,0.004218
0.370999,0.004253
0.371999,0.004288
0.372999,0.004323
0.373999,0.004359
0.374999,0.004394
0.375999,0.004429
0.376999,0.004464
0.377999,0.004499
0.378999,0.004534
0.379999,0.004569
0.380999,0.004607
0.381999,0.004644
0.382999,0.004681
0.383999,0.004718
0.384999,0.004755
0.385999,0.004792
0.386999,0.004829
0.387999,0.004866
0.388999,0.004903
0.389999,0.004940
0.390999,0.004979
0.391998,0.005018
0.392998,0.005057
0.393998,0.005096
0.394998,0.005135
0.395998,0.005174
0.396998,0.005213
0.397998,0.005252
0.398998,0.005291
0.399998,0.005330
0.400998,0.005371
0.401998,0.005412
0.402998,0.005453
0.403998,0.005494
0.404998,0.005535
0.405998,0.005576
0.406998,0.005617
0.407998,0.005658
0.408998,0.005699
0.409998,0.005740
0.410998,0.005783
0.411998,0.005826
0.412998,0.005869
0.413998,0.005912
0.414998,0.005955
0.415998,0.005998
0.416998,0.006041
0.417998,0.006084
0.418998,0.006127
0.419998,0.006170
0.420998,0.006216
0.421998,0.006261
0.422998,0.006306
0.423998,0.006351
0.424998,0.006396
0.425998,0.006441
0.426998,0.006486
0.427998,0.006532
0.428998,0.006577
0.429998,0.006622
0.430998,0.006669
0.431998,0.006717
0.432998,0.006764
0.433998,0.006811
0.434998,0.006858
0.435998,0.006906
0.436998,0.006953
0.437998,0.007000
0.438998,0.007048
0.439998,0.007095
0.440998,0.007144
0.441998,0.007194
0.442998,0.007243
0.443998,0.007293
0.444998,0.007342
0.445998,0.007392
0.446998,0.007441
0.447998,0.007491
0.448998,0.007540
0.449998,0.007590
0.450998,0.007642
0.451998,0.007693
0.452998,0.007745
0.453998,0.007797
0.454998,0.007849
0.455998,0.007900
0.456998,0.007952
0.457998,0.008004
0.458998,0.008056
0.459998,0.008107
0.460998,0.008161
0.461998,0.008215
0.462998,0.008270
0.463998,0.008324
0.464998,0.008378
0.465998,0.008432
0.466998,0.008486
0.467998,0.008540
0.468998,0.008594
0.469997,0.008648
0.470997,0.008704
0.471997,0.008761
0.472997,0.008817
0.473997,0.008873
0.474997,0.008930
0.475997,0.008986
0.476997,0.009043
0.477997,0.009099
0.478997,0.009155
0.479997,0.009212
0.480997,0.009271
0.481997,0.009329
0.482997,0.009388
0.483997,0.009447
0.484997,0.009506
0.485997,0.009565
0.486997,0.009623
0.487997,0.009682
0.488997,0.009741
0.489997,0.009800
0.490997,0.009861
0.491997,0.009922
0.492997,0.009984
0.493997,0.010045
0.494997,0.010106
0.495997,0.010167
0.496997,0.010229
0.497997,0.010290
0.498997,0.010351
0.499997,0.010412
0.500997,0.010476
0.501997,0.010540
0.502997,0.010604
0.503997,0.010667
0.504997,0.010731
0.505997,0.010795
0.506997,0.010859
0.507997,0.010922
0.508997,0.010986
0.509997,0.011050
0.510997,0.011116
0.511997,0.011182
0.512997,0.011249
0.513997,0.011315
0.514997,0.011381
0.515997,0.011448
0.516997,0.011514
0.517997,0.011580
0.518997,0.011647
0.519997,0.011713
0.520997,0.011782
0.521997,0.011851
0.522997,0.011919
0.523997,0.011988
0.524997,0.012057
0.525997,0.012126
0.526997,0.012195
0.527997,0.012264
0.528997,0.012333
0.529997,0.012402
0.530997,0.012473
0.531997,0.012545
0.532997,0.012616
0.533997,0.012688
0.534997,0.012760
0.535997,0.012831
0.536997,0.012903
0.537997,0.012974
0.538997,0.013046
0.539997,0.013117
0.540997,0.013192
0.541997,0.013266
0.542997,0.013340
0.543997,0.013414
0.544997,0.013489
0.545997,0.013563
0.546997,0.013637
0.547997,0.013711
0.548997,0.013786
0.549996,0.013860
0.550996,0.013937
0.551996,0.014014
0.552996,0.014091
0.553996,0.014168
0.554996,0.014245
0.555996,0.014322
0.556996,0.014399
0.557996,0.014476
0.558996,0.014553
0.559996,0.014630
0.560996,0.014710
0.561996,0.014789
0.562996,0.014869
0.563996,0.014949
0.564996,0.015029
0.565996,0.015109
0.566996,0.015188
0.567996,0.015268
0.568996,0.015348
0.569996,0.015428
0.570996,0.015510
0.571996,0.015593
0.572996,0.015676
0.573996,0.015758
0.574996,0.015841
0.575996,0.015924
0.576996,0.016006
0.577996,0.016089
0.578996,0.016172
0.579996,0.016254
0.580996,0.016340
0.581996,0.016425
0.582996,0.016511
0.583996,0.016596
0.584996,0.016682
0.585996,0.016767
0.586996,0.016853
0.587996,0.016939
0.588996,0.017024
0.589996,0.017110
0.590996,0.017198
0.591996,0.017287
0.592996,0.017375
0.593996,0.017464
0.594996,0.017552
0.595996,0.017641
0.596996,0.017729
0.597996,0.017818
0.598996,0.017906
0.599996,0.017995
0.600996,0.018086
0.601996,0.018178
0.602996,0.018269
0.603996,0.018361
0.604996,0.018452
0.605996,0.018544
0.606996,0.018635
0.607996,0.018727
0.608996,0.018818
0.609996,0.018910
0.610996,0.019004
0.611996,0.019099
0.612996,0.019193
0.613996,0.019288
0.614996,0.019382
0.615996,0.019477
0.616996,0.019571
0.617996,0.019666
