t,h
0.00,0.00
0.01,0.00
0.02,0.00
0.03,0.01
0.04,0.01
0.05,0.01
0.06,0.02
0.07,0.03
0.08,0.03
0.09,0.04
0.10,0.05
0.11,0.06
0.12,0.07
0.13,0.08
0.14,0.10
0.15,0.11
0.16,0.12
0.17,0.14
0.18,0.15
0.19,0.17
0.20,0.18
0.21,0.20
0.22,0.22
0.23,0.24
0.24,0.25
0.25,0.27
0.26,0.29
0.27,0.31
0.28,0.33
0.29,0.36
0.30,0.38
0.31,0.40
0.32,0.42
0.33,0.45
0.34,0.47
0.35,0.49
0.36,0.52
0.37,0.54
0.38,0.57
0.39,0.59
0.40,0.62
0.41,0.64
0.42,0.67
0.43,0.70
0.44,0.72
0.45,0.75
0.46,0.78
0.47,0.81
0.48,0.83
0.49,0.86
0.50,0.89
0.51,0.92
0.52,0.95
0.53,0.97
0.54,1.00
0.55,1.03
0.56,1.06
0.57,1.09
0.58,1.12
0.59,1.15
0.60,1.18
0.61,1.21
0.62,1.24
0.63,1.27
0.64,1.30
0.65,1.32
0.66,1.35
