v,t
0.25,0.0005
0.4875,0.001
0.713125,0.0015
0.927469,0.002
1.131096,0.0025
1.324541,0.003
1.508314,0.0035
1.682898,0.004
1.848753,0.0045
2.006315,0.005
2.156,0.0055
2.2982,0.006
2.43329,0.0065
2.561625,0.007
2.683544,0.0075
2.799367,0.008
2.909398,0.0085
3.013928,0.009
3.113232,0.0095
3.20757,0.01
3.297192,0.0105
3.382332,0.011
3.463216,0.0115
3.540055,0.012
3.613052,0.0125
3.6824,0.013
3.74828,0.0135
3.810866,0.014
3.870323,0.0145
3.926807,0.015
3.980466,0.0155
4.031443,0.016
4.079871,0.0165
4.125878,0.017
4.169584,0.0175
4.211104,0.018
4.250549,0.0185
4.288022,0.019
4.323621,0.0195
4.35744,0.02
4.389568,0.0205
4.420089,0.021
4.449085,0.0215
4.476631,0.022
4.502799,0.0225
4.527659,0.023
4.551276,0.0235
4.573712,0.024
4.595027,0.0245
4.615276,0.025
4.634512,0.0255
4.652786,0.026
4.670147,0.0265
4.68664,0.027
4.702308,0.0275
4.717192,0.028
4.731333,0.0285
4.744766,0.029
4.757528,0.0295
4.769651,0.03
4.781169,0.0305
4.79211,0.031
4.802505,0.0315
4.81238,0.032
4.821761,0.0325
4.830673,0.033
4.839139,0.0335
4.847182,0.034
4.854823,0.0345
4.862082,0.035
4.868978,0.0355
4.875529,0.036
4.881753,0.0365
4.887665,0.037
4.893282,0.0375
4.898618,0.038
4.903687,0.0385
4.908503,0.039
4.913077,0.0395
4.917424,0.04
4.921553,0.0405
4.925475,0.041
4.929202,0.0415
4.932742,0.042
4.936105,0.0425
4.9393,0.043
4.942335,0.0435
4.945218,0.044
4.947957,0.0445
4.950559,0.045
4.953031,0.0455
4.955379,0.046
4.957611,0.0465
4.95973,0.047
4.961744,0.0475
4.963656,0.048
4.965474,0.0485
4.9672,0.049
4.96884,0.0495
4.970397,0.05
4.971878,0.0505
4.973284,0.051
4.974619,0.0515
4.975888,0.052
4.977094,0.0525
4.978239,0.053
4.979327,0.0535
4.980361,0.054
4.981343,0.0545
4.982275,0.055
4.983162,0.0555
4.984004,0.056
4.984804,0.0565
4.985563,0.057
4.986285,0.0575
4.986971,0.058
4.987622,0.0585
4.988241,0.059
4.988829,0.0595
4.989388,0.06
4.989918,0.0605
