t	 y(t)
0.000	 0.000
0.010	 0.000
0.020	 0.000
0.030	 0.000
0.040	 0.000
0.050	 0.000
0.060	 0.000
0.070	 0.000
0.080	 0.000
0.090	 0.000
0.100	 0.000
0.110	 0.000
0.120	 0.000
0.130	 0.000
0.140	 0.000
0.150	 0.000
0.160	 0.000
0.170	 0.000
0.180	 0.000
0.190	 0.000
0.200	 0.000
0.210	 0.000
0.220	 0.000
0.230	 0.000
0.240	 0.000
0.250	 0.000
0.260	 0.000
0.270	 0.000
0.280	 0.000
0.290	 0.000
0.300	 0.000
0.310	 0.000
0.320	 0.000
0.330	 0.000
0.340	 0.000
0.350	 0.000
0.360	 0.000
0.370	 0.000
0.380	 0.000
0.390	 0.000
0.400	 0.000
0.410	 0.000
0.420	 0.000
0.430	 0.000
0.440	 0.000
0.450	 0.000
0.460	 0.000
0.470	 0.000
0.480	 0.000
0.490	 0.000
0.500	 0.000
0.510	 0.000
0.520	 0.000
0.530	 0.000
0.540	 0.000
0.550	 0.000
0.560	 0.000
0.570	 0.000
0.580	 0.000
0.590	 0.000
0.600	 0.000
0.610	 0.000
0.620	 0.000
0.630	 0.000
0.640	 0.000
0.650	 0.000
0.660	 0.000
0.670	 0.000
0.680	 0.000
0.690	 0.000
0.700	 0.000
0.710	 0.000
0.720	 0.000
0.730	 0.000
0.740	 0.000
0.750	 0.000
0.760	 0.000
0.770	 0.000
0.780	 0.000
0.790	 0.000
0.800	 0.000
0.810	 0.000
0.820	 0.000
0.830	 0.000
0.840	 0.000
0.850	 0.000
0.860	 0.000
0.870	 0.000
0.880	 0.000
0.890	 0.000
0.900	 0.000
0.910	 0.000
0.920	 0.000
0.930	 0.000
0.940	 0.000
0.950	 0.000
0.960	 0.000
0.970	 0.000
0.980	 0.000
0.990	 0.000
1.000	 0.000
1.010	 0.005
1.020	 0.015
1.030	 0.030
1.040	 0.050
1.050	 0.074
1.060	 0.103
1.070	 0.137
1.080	 0.176
1.090	 0.219
1.100	 0.267
1.110	 0.319
1.120	 0.376
1.130	 0.437
1.140	 0.502
1.150	 0.572
1.160	 0.646
1.170	 0.724
1.180	 0.807
1.190	 0.893
1.200	 0.984
1.210	1.078
1.220	1.176
1.230	1.279
1.240	1.385
1.250	1.495
1.260	1.609
1.270	1.726
1.280	1.847
1.290	1.972
1.300	2.100
1.310	2.232
1.320	2.367
1.330	2.506
1.340	2.648
1.350	2.793
1.360	2.942
1.370	3.093
1.380	3.248
1.390	3.406
1.400	3.567
1.410	3.731
1.420	3.898
1.430	4.068
1.440	4.241
1.450	4.416
1.460	4.594
1.470	4.775
1.480	4.959
1.490	5.145
1.500	5.334
1.510	5.525
1.520	5.719
1.530	5.915
1.540	6.113
1.550	6.314
1.560	6.517
1.570	6.722
1.580	6.930
1.590	7.139
1.600	7.351
1.610	7.564
1.620	7.779
1.630	7.997
1.640	8.216
1.650	8.437
1.660	8.660
1.670	8.884
1.680	9.110
1.690	9.338
1.700	9.567
1.710	9.798
1.720	10.030
1.730	10.264
1.740	10.499
1.750	10.735
1.760	10.973
1.770	11.211
1.780	11.451
1.790	11.692
1.800	11.934
1.810	12.177
1.820	12.421
1.830	12.666
1.840	12.912
1.850	13.158
1.860	13.405
1.870	13.653
1.880	13.902
1.890	14.151
1.900	14.401
1.910	14.651
1.920	14.902
1.930	15.153
1.940	15.404
1.950	15.656
1.960	15.908
1.970	16.160
1.980	16.413
1.990	16.665
2.000	16.918
2.010	17.170
2.020	17.423
2.030	17.675
2.040	17.928
2.050	18.180
2.060	18.433
2.070	18.685
2.080	18.938
2.090	19.190
2.100	19.443
2.110	19.695
2.120	19.948
2.130	20.200
2.140	20.453
2.150	20.705
2.160	20.958
2.170	21.210
2.180	21.463
2.190	21.715
2.200	21.968
2.210	22.220
2.220	22.473
2.230	22.725
2.240	22.978
2.250	23.230
2.260	23.483
2.270	23.735
2.280	23.988
2.290	24.240
2.300	24.493
2.310	24.745
2.320	24.998
2.330	25.250
2.340	25.503
2.350	25.755
2.360	26.008
2.370	26.260
2.380	26.513
2.390	26.765
2.400	27.018
2.410	27.270
2.420	27.523
2.430	27.775
2.440	28.028
2.450	28.280
2.460	28.533
2.470	28.785
2.480	29.038
2.490	29.290
2.500	29.543
2.510	29.795
2.520	30.048
2.530	30.300
2.540	30.553
2.550	30.805
2.560	31.058
2.570	31.310
2.580	31.563
2.590	31.815
2.600	32.068
2.610	32.320
2.620	32.573
2.630	32.825
2.640	33.078
2.650	33.330
2.660	33.583
2.670	33.835
2.680	34.088
2.690	34.340
2.700	34.593
2.710	34.845
2.720	35.098
2.730	35.350
2.740	35.603
2.750	35.855
2.760	36.108
2.770	36.360
2.780	36.613
2.790	36.865
2.800	37.118
2.810	37.370
2.820	37.623
2.830	37.875
2.840	38.128
2.850	38.380
2.860	38.633
2.870	38.885
2.880	39.138
2.890	39.390
2.900	39.643
2.910	39.895
2.920	40.148
2.930	40.400
2.940	40.653
2.950	40.905
2.960	41.158
2.970	41.410
2.980	41.663
2.990	41.915
3.000	42.168
3.010	41.415
3.020	40.668
3.030	39.925
3.040	39.188
3.050	38.456
3.060	37.729
3.070	37.008
3.080	36.292
3.090	35.581
3.100	34.876
3.110	34.176
3.120	33.482
3.130	32.793
3.140	32.110
3.150	31.433
3.160	30.762
3.170	30.096
3.180	29.436
3.190	28.782
3.200	28.134
3.210	27.492
3.220	26.856
3.230	26.226
3.240	25.603
3.250	24.985
3.260	24.374
3.270	23.769
3.280	23.170
3.290	22.578
3.300	21.992
3.310	21.413
3.320	20.840
3.330	20.274
3.340	19.715
3.350	19.162
3.360	18.616
3.370	18.077
3.380	17.544
3.390	17.019
3.400	16.501
3.410	15.989
3.420	15.485
3.430	14.987
3.440	14.497
3.450	14.014
3.460	13.538
3.470	13.070
3.480	12.609
3.490	12.155
3.500	11.709
3.510	11.270
3.520	10.839
3.530	10.415
3.540	9.999
3.550	9.591
3.560	9.191
3.570	8.798
3.580	8.413
3.590	8.036
3.600	7.667
3.610	7.306
3.620	6.953
3.630	6.608
3.640	6.272
3.650	5.943
3.660	5.623
3.670	5.311
3.680	5.007
3.690	4.712
3.700	4.425
3.710	4.147
3.720	3.877
3.730	3.616
3.740	3.364
3.750	3.120
3.760	2.885
3.770	2.659
3.780	2.441
3.790	2.233
3.800	2.034
3.810	1.843
3.820	1.662
3.830	1.489
3.840	1.326
3.850	1.172
3.860	1.027
3.870	 0.892
3.880	 0.766
3.890	 0.649
3.900	 0.542
3.910	 0.444
3.920	 0.356
3.930	 0.277
3.940	 0.208
3.950	 0.149
3.960	 0.100
3.970	 0.060
3.980	 0.030
3.990	 0.010
4.000	 0.000
4.010	 0.000
4.020	 0.000
4.030	 0.000
4.040	 0.000
4.050	 0.000
4.060	 0.000
4.070	 0.000
4.080	 0.000
4.090	 0.000
4.100	 0.000
4.110	 0.000
4.120	 0.000
4.130	 0.000
4.140	 0.000
4.150	 0.000
4.160	 0.000
4.170	 0.000
4.180	 0.000
4.190	 0.000
4.200	 0.000
4.210	 0.000
4.220	 0.000
4.230	 0.000
4.240	 0.000
4.250	 0.000
4.260	 0.000
4.270	 0.000
4.280	 0.000
4.290	 0.000
4.300	 0.000
4.310	 0.000
4.320	 0.000
4.330	 0.000
4.340	 0.000
4.350	 0.000
4.360	 0.000
4.370	 0.000
4.380	 0.000
4.390	 0.000
4.400	 0.000
4.410	 0.000
4.420	 0.000
4.430	 0.000
4.440	 0.000
4.450	 0.000
4.460	 0.000
4.470	 0.000
4.480	 0.000
4.490	 0.000
4.500	 0.000
4.510	 0.000
4.520	 0.000
4.530	 0.000
4.540	 0.000
4.550	 0.000
4.560	 0.000
4.570	 0.000
4.580	 0.000
4.590	 0.000
4.600	 0.000
4.610	 0.000
4.620	 0.000
4.630	 0.000
4.640	 0.000
4.650	 0.000
4.660	 0.000
4.670	 0.000
4.680	 0.000
4.690	 0.000
4.700	 0.000
4.710	 0.000
4.720	 0.000
4.730	 0.000
4.740	 0.000
4.750	 0.000
4.760	 0.000
4.770	 0.000
4.780	 0.000
4.790	 0.000
4.800	 0.000
4.810	 0.000
4.820	 0.000
4.830	 0.000
4.840	 0.000
4.850	 0.000
4.860	 0.000
4.870	 0.000
4.880	 0.000
4.890	 0.000
4.900	 0.000
4.910	 0.000
4.920	 0.000
4.930	 0.000
4.940	 0.000
4.950	 0.000
4.960	 0.000
4.970	 0.000
4.980	 0.000
4.990	 0.000
5.000	 0.000
