waktu;tinggi
0;0
0.1;0
0.2;0
0.3;0
0.4;0
0.5;0.001
0.6;0.001
0.7;0.001
0.8;0.001
0.9;0.001
1;0.001
1.1;0.001
1.2;0.001
1.3;0.001
1.4;0.001
1.5;0.001
1.6;0.001
1.7;0.001
1.8;0.001
1.9;0.002
2;0.002
2.1;0.002
2.2;0.002
2.3;0.002
2.4;0.002
2.5;0.002
2.6;0.002
2.7;0.002
2.8;0.002
2.9;0.002
3;0.002
3.1;0.002
3.2;0.002
3.3;0.002
3.4;0.002
3.5;0.003
3.6;0.003
3.7;0.003
3.8;0.003
3.9;0.003
4;0.003
4.1;0.003
4.2;0.003
4.3;0.003
4.4;0.003
4.5;0.003
4.6;0.003
4.7;0.003
4.8;0.003
4.9;0.003
5;0.003
5.1;0.003
5.2;0.003
5.3;0.003
5.4;0.004
5.5;0.004
5.6;0.004
5.7;0.004
5.8;0.004
5.9;0.004
6;0.004
6.1;0.004
6.2;0.004
6.3;0.004
6.4;0.004
6.5;0.004
6.6;0.004
6.7;0.004
6.8;0.004
6.9;0.004
7;0.004
7.1;0.004
7.2;0.004
7.3;0.004
7.4;0.004
7.5;0.004
7.6;0.004
7.7;0.005
7.8;0.005
7.9;0.005
8;0.005
8.1;0.005
8.2;0.005
8.3;0.005
8.4;0.005
8.5;0.005
8.6;0.005
8.7;0.005
8.8;0.005
8.9;0.005
9;0.005
9.1;0.005
9.2;0.005
9.3;0.005
9.4;0.005
9.5;0.005
9.6;0.005
9.7;0.005
9.8;0.005
9.9;0.005
10;0.005
10.1;0.005
10.2;0.005
10.3;0.006
10.4;0.006
10.5;0.006
10.6;0.006
10.7;0.006
10.8;0.006
10.9;0.006
11;0.006
11.1;0.006
11.2;0.006
11.3;0.006
11.4;0.006
11.5;0.006
11.6;0.006
11.7;0.006
11.8;0.006
11.9;0.006
12;0.006
12.1;0.006
12.2;0.006
12.3;0.006
12.4;0.006
12.5;0.006
12.6;0.006
12.7;0.006
12.8;0.006
12.9;0.006
13;0.006
13.1;0.006
13.2;0.006
13.3;0.006
13.4;0.007
13.5;0.007
13.6;0.007
13.7;0.007
13.8;0.007
13.9;0.007
14;0.007
14.1;0.007
14.2;0.007
14.3;0.007
14.4;0.007
14.5;0.007
14.6;0.007
14.7;0.007
14.8;0.007
14.9;0.007
15;0.007
15.1;0.007
15.2;0.007
15.3;0.007
15.4;0.007
15.5;0.007
15.6;0.007
15.7;0.007
15.8;0.007
15.9;0.007
16;0.007
16.1;0.007
16.2;0.007
16.3;0.007
16.4;0.007
16.5;0.007
16.6;0.007
16.7;0.007
16.8;0.007
16.9;0.007
17;0.007
17.1;0.007
17.2;0.008
17.3;0.008
17.4;0.008
17.5;0.008
17.6;0.008
17.7;0.008
17.8;0.008
17.9;0.008
18;0.008
18.1;0.008
18.2;0.008
18.3;0.008
18.4;0.008
18.5;0.008
18.6;0.008
18.7;0.008
18.8;0.008
18.9;0.008
19;0.008
19.1;0.008
19.2;0.008
19.3;0.008
19.4;0.008
19.5;0.008
19.6;0.008
19.7;0.008
19.8;0.008
19.9;0.008
20;0.008
20.1;0.008
20.2;0.008
20.3;0.008
20.4;0.008
20.5;0.008
20.6;0.008
20.7;0.008
20.8;0.008
20.9;0.008
21;0.008
21.1;0.008
21.2;0.008
21.3;0.008
21.4;0.008
21.5;0.008
21.6;0.008
21.7;0.008
21.8;0.008
21.9;0.009
22;0.009
22.1;0.009
22.2;0.009
22.3;0.009
22.4;0.009
22.5;0.009
22.6;0.009
22.7;0.009
22.8;0.009
22.9;0.009
23;0.009
23.1;0.009
23.2;0.009
23.3;0.009
23.4;0.009
23.5;0.009
23.6;0.009
23.7;0.009
23.8;0.009
23.9;0.009
24;0.009
24.1;0.009
24.2;0.009
24.3;0.009
24.4;0.009
24.5;0.009
24.6;0.009
24.7;0.009
24.8;0.009
24.9;0.009
25;0.009
25.1;0.009
25.2;0.009
25.3;0.009
25.4;0.009
25.5;0.009
25.6;0.009
25.7;0.009
25.8;0.009
25.9;0.009
26;0.009
26.1;0.009
26.2;0.009
26.3;0.009
26.4;0.009
26.5;0.009
26.6;0.009
26.7;0.009
26.8;0.009
26.9;0.009
27;0.009
27.1;0.009
27.2;0.009
27.3;0.009
27.4;0.009
27.5;0.009
27.6;0.009
27.7;0.009
27.8;0.009
27.9;0.01
28;0.01
28.1;0.01
28.2;0.01
28.3;0.01
28.4;0.01
28.5;0.01
28.6;0.01
28.7;0.01
28.8;0.01
28.9;0.01
29;0.01
29.1;0.01
29.2;0.01
29.3;0.01
29.4;0.01
29.5;0.01
29.6;0.01
29.7;0.01
29.8;0.01
29.9;0.01
30;0.01
30.1;0.01
30.2;0.01
30.3;0.01
30.4;0.01
30.5;0.01
30.6;0.01
30.7;0.01
30.8;0.01
30.9;0.01
31;0.01
31.1;0.01
31.2;0.01
31.3;0.01
31.4;0.01
31.5;0.01
31.6;0.01
31.7;0.01
