vc,time
0.000000,0.001000
0.050000,0.002000
0.099500,0.003000
0.148505,0.004000
0.197020,0.005000
0.245050,0.006000
0.292599,0.007000
0.339673,0.008000
0.386277,0.009000
0.432414,0.010000
0.478090,0.011000
0.523309,0.012000
0.568076,0.013000
0.612395,0.014000
0.656271,0.015000
0.699708,0.016000
0.742711,0.017000
0.785284,0.018000
0.827431,0.019000
0.869157,0.020000
0.910465,0.021000
0.951361,0.022000
0.991847,0.023000
1.031929,0.024000
1.071609,0.025000
1.110893,0.026000
1.149784,0.027000
1.188287,0.028000
1.226404,0.029000
1.264140,0.030000
1.301498,0.031000
1.338483,0.032000
1.375099,0.033000
1.411348,0.034000
1.447234,0.035000
1.482762,0.036000
1.517934,0.037000
1.552755,0.038000
1.587227,0.039000
1.621355,0.040000
1.655141,0.041000
1.688590,0.042000
1.721704,0.043000
1.754487,0.044000
1.786942,0.045000
1.819073,0.046000
1.850882,0.047000
1.882373,0.048000
1.913549,0.049000
1.944414,0.050000
1.974970,0.051000
2.005220,0.052000
2.035168,0.053000
2.064816,0.054000
2.094168,0.055000
2.123226,0.056000
2.151994,0.057000
2.180474,0.058000
2.208669,0.059000
2.236583,0.060000
2.264217,0.061000
2.291574,0.062000
2.318659,0.063000
2.345472,0.064000
2.372018,0.065000
2.398298,0.066000
2.424314,0.067000
2.450071,0.068000
2.475571,0.069000
2.500815,0.070000
2.525807,0.071000
2.550549,0.072000
2.575043,0.073000
2.599293,0.074000
2.623300,0.075000
2.647067,0.076000
2.670596,0.077000
2.693890,0.078000
2.716951,0.079000
2.739781,0.080000
2.762383,0.081000
2.784760,0.082000
2.806912,0.083000
2.828843,0.084000
2.850554,0.085000
2.872049,0.086000
2.893328,0.087000
2.914395,0.088000
2.935251,0.089000
2.955899,0.090000
2.976340,0.091000
2.996576,0.092000
3.016611,0.093000
3.036444,0.094000
3.056080,0.095000
3.075519,0.096000
3.094764,0.097000
3.113816,0.098000
3.132678,0.099000
3.151351,0.100000
3.169838,0.101000
3.188139,0.102000
3.206258,0.103000
3.224195,0.104000
3.241954,0.105000
3.259534,0.106000
3.276939,0.107000
3.294169,0.108000
3.311228,0.109000
3.328115,0.110000
3.344834,0.111000
3.361386,0.112000
3.377772,0.113000
3.393994,0.114000
3.410054,0.115000
3.425954,0.116000
3.441694,0.117000
3.457277,0.118000
3.472704,0.119000
3.487977,0.120000
3.503097,0.121000
3.518066,0.122000
3.532886,0.123000
3.547557,0.124000
3.562081,0.125000
3.576461,0.126000
3.590696,0.127000
3.604789,0.128000
3.618741,0.129000
3.632554,0.130000
3.646228,0.131000
3.659766,0.132000
3.673168,0.133000
3.686436,0.134000
3.699572,0.135000
3.712576,0.136000
3.725451,0.137000
3.738196,0.138000
3.750814,0.139000
3.763306,0.140000
3.775673,0.141000
3.787916,0.142000
3.800037,0.143000
3.812037,0.144000
3.823916,0.145000
3.835677,0.146000
3.847320,0.147000
3.858847,0.148000
3.870259,0.149000
3.881556,0.150000
3.892740,0.151000
3.903813,0.152000
3.914775,0.153000
3.925627,0.154000
3.936371,0.155000
3.947007,0.156000
3.957537,0.157000
3.967962,0.158000
3.978282,0.159000
3.988499,0.160000
3.998614,0.161000
4.008628,0.162000
4.018542,0.163000
4.028357,0.164000
4.038074,0.165000
4.047693,0.166000
4.057216,0.167000
4.066644,0.168000
4.075977,0.169000
4.085217,0.170000
4.094365,0.171000
4.103422,0.172000
4.112388,0.173000
4.121264,0.174000
4.130051,0.175000
4.138751,0.176000
4.147363,0.177000
4.155890,0.178000
4.164330,0.179000
4.172687,0.180000
4.180960,0.181000
4.189151,0.182000
4.197259,0.183000
4.205287,0.184000
4.213234,0.185000
4.221102,0.186000
4.228891,0.187000
4.236602,0.188000
4.244236,0.189000
4.251794,0.190000
4.259276,0.191000
4.266683,0.192000
4.274016,0.193000
4.281276,0.194000
4.288464,0.195000
4.295579,0.196000
4.302623,0.197000
4.309597,0.198000
4.316501,0.199000
4.323336,0.200000
4.330103,0.201000
4.336802,0.202000
4.343434,0.203000
4.349999,0.204000
4.356500,0.205000
4.362935,0.206000
4.369305,0.207000
4.375612,0.208000
4.381856,0.209000
4.388037,0.210000
4.394157,0.211000
4.400215,0.212000
4.406213,0.213000
4.412151,0.214000
4.418029,0.215000
4.423849,0.216000
4.429611,0.217000
4.435315,0.218000
4.440961,0.219000
4.446552,0.220000
4.452086,0.221000
4.457566,0.222000
4.462990,0.223000
4.468360,0.224000
4.473677,0.225000
4.478940,0.226000
4.484150,0.227000
4.489309,0.228000
4.494416,0.229000
4.499472,0.230000
4.504477,0.231000
4.509432,0.232000
4.514338,0.233000
4.519195,0.234000
4.524003,0.235000
4.528762,0.236000
4.533475,0.237000
4.538140,0.238000
4.542759,0.239000
4.547331,0.240000
4.551858,0.241000
4.556339,0.242000
4.560776,0.243000
4.565168,0.244000
4.569516,0.245000
4.573821,0.246000
4.578083,0.247000
4.582302,0.248000
4.586479,0.249000
4.590614,0.250000
4.594708,0.251000
4.598761,0.252000
4.602774,0.253000
4.606746,0.254000
4.610678,0.255000
4.614572,0.256000
4.618426,0.257000
4.622241,0.258000
4.626019,0.259000
4.629759,0.260000
4.633461,0.261000
4.637127,0.262000
4.640756,0.263000
4.644348,0.264000
4.647905,0.265000
4.651426,0.266000
4.654912,0.267000
4.658362,0.268000
4.661779,0.269000
4.665161,0.270000
4.668509,0.271000
4.671824,0.272000
4.675106,0.273000
4.678355,0.274000
4.681571,0.275000
4.684756,0.276000
4.687908,0.277000
4.691029,0.278000
4.694119,0.279000
4.697178,0.280000
4.700206,0.281000
4.703204,0.282000
4.706172,0.283000
4.709110,0.284000
4.712019,0.285000
4.714899,0.286000
4.717750,0.287000
4.720572,0.288000
4.723366,0.289000
4.726132,0.290000
4.728871,0.291000
4.731582,0.292000
4.734266,0.293000
4.736924,0.294000
4.739554,0.295000
4.742159,0.296000
4.744737,0.297000
4.747290,0.298000
4.749817,0.299000
4.752319,0.300000
4.754796,0.301000
4.757247,0.302000
4.759675,0.303000
4.762078,0.304000
4.764458,0.305000
4.766813,0.306000
4.769145,0.307000
4.771453,0.308000
4.773739,0.309000
4.776001,0.310000
4.778242,0.311000
4.780459,0.312000
4.782655,0.313000
4.784828,0.314000
4.786980,0.314999
4.789110,0.315999
4.791219,0.316999
4.793306,0.317999
4.795373,0.318999
4.797420,0.319999
4.799445,0.320999
4.801451,0.321999
4.803436,0.322999
4.805402,0.323999
4.807348,0.324999
4.809274,0.325999
4.811182,0.326999
4.813070,0.327999
4.814939,0.328999
4.816790,0.329999
4.818622,0.330999
4.820436,0.331999
4.822231,0.332999
4.824009,0.333999
4.825769,0.334999
4.827511,0.335999
4.829236,0.336999
4.830944,0.337999
4.832634,0.338999
4.834308,0.339999
4.835965,0.340999
4.837605,0.341999
4.839229,0.342999
4.840837,0.343999
4.842429,0.344999
4.844005,0.345999
4.845564,0.346999
4.847109,0.347999
4.848638,0.348999
4.850151,0.349999
4.851650,0.350999
4.853133,0.351999
4.854602,0.352999
4.856056,0.353999
4.857495,0.354999
4.858921,0.355999
4.860332,0.356999
4.861728,0.357999
4.863111,0.358999
4.864480,0.359999
4.865835,0.360999
4.867177,0.361999
4.868505,0.362999
4.869821,0.363999
4.871122,0.364999
4.872411,0.365999
4.873687,0.366999
4.874950,0.367999
4.876201,0.368999
4.877439,0.369999
4.878664,0.370999
4.879878,0.371999
4.881079,0.372999
4.882268,0.373999
4.883445,0.374999
4.884611,0.375999
4.885765,0.376999
4.886907,0.377999
