vc	time
0	0.001
0.05	0.002
0.0995	0.003
0.148505	0.004
0.19702	0.005
0.24505	0.006
0.292599	0.007
0.339673	0.008
0.386277	0.009
0.432414	0.01
0.47809	0.011
0.523309	0.012
0.568076	0.013
0.612395	0.014
0.656271	0.015
0.699708	0.016
0.742711	0.017
0.785284	0.018
0.827431	0.019
0.869157	0.02
0.910465	0.021
0.951361	0.022
0.991847	0.023
1.031929	0.024
1.071609	0.025
1.110893	0.026
1.149784	0.027
1.188287	0.028
1.226404	0.029
1.26414	0.03
1.301498	0.031
1.338483	0.032
1.375099	0.033
1.411348	0.034
1.447234	0.035
1.482762	0.036
1.517934	0.037
1.552755	0.038
1.587227	0.039
1.621355	0.04
1.655141	0.041
1.68859	0.042
1.721704	0.043
1.754487	0.044
1.786942	0.045
1.819073	0.046
1.850882	0.047
1.882373	0.048
1.913549	0.049
1.944414	0.05
1.97497	0.051
2.00522	0.052
2.035168	0.053
2.064816	0.054
2.094168	0.055
2.123226	0.056
2.151994	0.057
2.180474	0.058
2.208669	0.059
2.236583	0.06
2.264217	0.061
2.291574	0.062
2.318659	0.063
2.345472	0.064
2.372018	0.065
2.398298	0.066
2.424314	0.067
2.450071	0.068
2.475571	0.069
2.500815	0.07
2.525807	0.071
2.550549	0.072
2.575043	0.073
2.599293	0.074
2.6233	0.075
2.647067	0.076
2.670596	0.077
2.69389	0.078
2.716951	0.079
2.739781	0.08
2.762383	0.081
2.78476	0.082
2.806912	0.083
2.828843	0.084
2.850554	0.085
2.872049	0.086
2.893328	0.087
2.914395	0.088
2.935251	0.089
2.955899	0.09
2.97634	0.091
2.996576	0.092
3.016611	0.093
3.036444	0.094
3.05608	0.095
3.075519	0.096
3.094764	0.097
3.113816	0.098
3.132678	0.099
3.151351	0.1
3.169838	0.101
3.188139	0.102
3.206258	0.103
3.224195	0.104
3.241954	0.105
3.259534	0.106
3.276939	0.107
3.294169	0.108
3.311228	0.109
3.328115	0.11
3.344834	0.111
3.361386	0.112
3.377772	0.113
3.393994	0.114
3.410054	0.115
3.425954	0.116
3.441694	0.117
3.457277	0.118
3.472704	0.119
3.487977	0.12
3.503097	0.121
3.518066	0.122
3.532886	0.123
3.547557	0.124
3.562081	0.125
3.576461	0.126
3.590696	0.127
3.604789	0.128
3.618741	0.129
3.632554	0.13
3.646228	0.131
3.659766	0.132
3.673168	0.133
3.686436	0.134
3.699572	0.135
3.712576	0.136
3.725451	0.137
3.738196	0.138
3.750814	0.139
3.763306	0.14
3.775673	0.141
3.787916	0.142
3.800037	0.143
3.812037	0.144
3.823916	0.145
3.835677	0.146
3.84732	0.147
3.858847	0.148
3.870259	0.149
3.881556	0.15
3.89274	0.151
3.903813	0.152
3.914775	0.153
3.925627	0.154
3.936371	0.155
3.947007	0.156
3.957537	0.157
3.967962	0.158
3.978282	0.159
3.988499	0.16
3.998614	0.161
4.008628	0.162
4.018542	0.163
4.028357	0.164
4.038074	0.165
4.047693	0.166
4.057216	0.167
4.066644	0.168
4.075977	0.169
4.085217	0.17
4.094365	0.171
4.103422	0.172
4.112388	0.173
4.121264	0.174
4.130051	0.175
4.138751	0.176
4.147363	0.177
4.15589	0.178
4.16433	0.179
4.172687	0.18
4.18096	0.181
4.189151	0.182
4.197259	0.183
4.205287	0.184
4.213234	0.185
4.221102	0.186
4.228891	0.187
4.236602	0.188
4.244236	0.189
4.251794	0.19
4.259276	0.191
4.266683	0.192
4.274016	0.193
4.281276	0.194
4.288464	0.195
4.295579	0.196
4.302623	0.197
4.309597	0.198
4.316501	0.199
4.323336	0.2
4.330103	0.201
4.336802	0.202
4.343434	0.203
4.349999	0.204
4.3565	0.205
4.362935	0.206
4.369305	0.207
4.375612	0.208
4.381856	0.209
4.388037	0.21
4.394157	0.211
4.400215	0.212
4.406213	0.213
4.412151	0.214
4.418029	0.215
4.423849	0.216
4.429611	0.217
4.435315	0.218
4.440961	0.219
4.446552	0.22
4.452086	0.221
4.457566	0.222
4.46299	0.223
4.46836	0.224
