waktu (s), Tinggi (m)
0,0.000099
0.1,0.000195
0.2,0.000288
0.3,0.000378
0.4,0.000464
0.5,0.000546
0.6,0.000624
0.7,0.000699
0.8,0.000769
0.9,0.000835
1,0.000897
1.1,0.000955
1.2,0.00101
1.3,0.001061
1.4,0.001108
1.5,0.001153
1.6,0.001194
1.7,0.001233
1.8,0.001268
1.9,0.001301
2,0.001332
2.1,0.00136
2.2,0.001387
2.3,0.001411
2.4,0.001433
2.5,0.001454
2.6,0.001473
2.7,0.001491
2.799999,0.001507
2.899999,0.001522
2.999999,0.001536
3.099999,0.001548
3.199999,0.00156
3.299999,0.001571
3.399999,0.001581
3.499999,0.00159
3.599999,0.001598
3.699999,0.001606
3.799999,0.001613
3.899998,0.001619
3.999998,0.001625
4.099998,0.001631
4.199998,0.001636
4.299998,0.00164
4.399998,0.001644
4.499998,0.001648
4.599998,0.001652
4.699998,0.001655
4.799998,0.001658
4.899998,0.001661
4.999998,0.001663
5.099998,0.001666
5.199997,0.001668
5.299997,0.00167
5.399997,0.001672
5.499997,0.001673
5.599997,0.001675
5.699997,0.001676
5.799997,0.001677
5.899997,0.001679
5.999997,0.00168
6.099997,0.001681
6.199996,0.001681
6.299996,0.001682
6.399996,0.001683
6.499996,0.001684
6.599996,0.001684
6.699996,0.001685
6.799996,0.001686
6.899996,0.001686
6.999996,0.001686
7.099996,0.001687
7.199996,0.001687
7.299995,0.001688
7.399995,0.001688
7.499995,0.001688
7.599995,0.001688
7.699995,0.001689
7.799995,0.001689
7.899995,0.001689
7.999995,0.001689
8.099995,0.001689
8.199995,0.00169
8.299995,0.00169
8.399996,0.00169
8.499996,0.00169
8.599997,0.00169
8.699997,0.00169
8.799997,0.00169
8.899998,0.00169
8.999998,0.001691
9.099998,0.001691
9.199999,0.001691
9.299999,0.001691
9.4,0.001691
9.5,0.001691
9.6,0.001691
9.700001,0.001691
9.800001,0.001691
9.900002,0.001691
10.000002,0.001691
10.100002,0.001691
10.200003,0.001691
10.300003,0.001691
10.400003,0.001691
10.500004,0.001691
10.600004,0.001691
10.700005,0.001691
10.800005,0.001691
10.900005,0.001691
11.000006,0.001691
11.100006,0.001691
11.200006,0.001691
11.300007,0.001691
11.400007,0.001691
11.500008,0.001691
11.600008,0.001691
11.700008,0.001691
11.800009,0.001691
11.900009,0.001691
12.00001,0.001691
12.10001,0.001691
12.20001,0.001691
12.300011,0.001691
12.400011,0.001691
12.500011,0.001691
12.600012,0.001691
12.700012,0.001691
12.800013,0.001691
12.900013,0.001691
13.000013,0.001691
13.100014,0.001691
13.200014,0.001691
13.300014,0.001691
13.400015,0.001691
13.500015,0.001691
13.600016,0.001691
13.700016,0.001691
13.800016,0.001691
13.900017,0.001691
14.000017,0.001691
14.100018,0.001691
14.200018,0.001691
14.300018,0.001691
14.400019,0.001691
14.500019,0.001691
14.600019,0.001691
14.70002,0.001691
14.80002,0.001691
14.900021,0.001691
15.000021,0.001691
15.100021,0.001691
15.200022,0.001691
15.300022,0.001691
15.400023,0.001691
15.500023,0.001691
15.600023,0.001691
15.700024,0.001691
15.800024,0.001691
15.900024,0.001691
16.000025,0.001691
16.100025,0.001691
16.200026,0.001691
16.300026,0.001691
16.400026,0.001691
16.500027,0.001691
16.600027,0.001691
16.700027,0.001691
16.800028,0.001691
16.900028,0.001691
17.000029,0.001691
17.100029,0.001691
17.200029,0.001691
17.30003,0.001691
17.40003,0.001691
17.500031,0.001691
17.600031,0.001691
17.700031,0.001691
17.800032,0.001691
17.900032,0.001691
18.000032,0.001691
18.100033,0.001691
18.200033,0.001691
18.300034,0.001691
18.400034,0.001691
18.500034,0.001691
18.600035,0.001691
18.700035,0.001691
18.800035,0.001691
18.900036,0.001691
19.000036,0.001691
19.100037,0.001691
19.200037,0.001691
19.300037,0.001691
19.400038,0.001691
19.500038,0.001691
19.600039,0.001691
19.700039,0.001691
19.800039,0.001691
19.90004,0.001691
20.00004,0.001691
20.10004,0.001691
20.200041,0.001691
20.300041,0.001691
20.400042,0.001691
20.500042,0.001691
20.600042,0.001691
20.700043,0.001691
20.800043,0.001691
20.900043,0.001691
21.000044,0.001691
21.100044,0.001691
21.200045,0.001691
21.300045,0.001691
21.400045,0.001691
21.500046,0.001691
21.600046,0.001691
21.700047,0.001691
21.800047,0.001691
21.900047,0.001691
22.000048,0.001691
22.100048,0.001691
22.200048,0.001691
22.300049,0.001691
22.400049,0.001691
22.50005,0.001691
22.60005,0.001691
22.70005,0.001691
22.800051,0.001691
22.900051,0.001691
23.000051,0.001691
23.100052,0.001691
23.200052,0.001691
23.300053,0.001691
23.400053,0.001691
23.500053,0.001691
23.600054,0.001691
23.700054,0.001691
23.800055,0.001691
23.900055,0.001691
24.000055,0.001691
24.100056,0.001691
24.200056,0.001691
24.300056,0.001691
24.400057,0.001691
24.500057,0.001691
24.600058,0.001691
24.700058,0.001691
24.800058,0.001691
24.900059,0.001691
25.000059,0.001691
25.10006,0.001691
25.20006,0.001691
25.30006,0.001691
25.400061,0.001691
25.500061,0.001691
25.600061,0.001691
25.700062,0.001691
25.800062,0.001691
25.900063,0.001691
26.000063,0.001691
26.100063,0.001691
26.200064,0.001691
26.300064,0.001691
26.400064,0.001691
26.500065,0.001691
26.600065,0.001691
26.700066,0.001691
26.800066,0.001691
26.900066,0.001691
27.000067,0.001691
27.100067,0.001691
27.200068,0.001691
27.300068,0.001691
27.400068,0.001691
27.500069,0.001691
27.600069,0.001691
27.700069,0.001691
27.80007,0.001691
27.90007,0.001691
28.000071,0.001691
28.100071,0.001691
28.200071,0.001691
28.300072,0.001691
28.400072,0.001691
28.500072,0.001691
28.600073,0.001691
28.700073,0.001691
28.800074,0.001691
28.900074,0.001691
29.000074,0.001691
29.100075,0.001691
29.200075,0.001691
29.300076,0.001691
29.400076,0.001691
29.500076,0.001691
29.600077,0.001691
29.700077,0.001691
29.800077,0.001691
29.900078,0.001691
30.000078,0.001691
30.100079,0.001691
30.200079,0.001691
30.300079,0.001691
30.40008,0.001691
30.50008,0.001691
30.60008,0.001691
30.700081,0.001691
30.800081,0.001691
30.900082,0.001691
31.000082,0.001691
31.100082,0.001691
31.200083,0.001691
31.300083,0.001691
31.400084,0.001691
31.500084,0.001691
31.600084,0.001691
31.700085,0.001691
31.800085,0.001691
31.900085,0.001691
32.000084,0.001691
32.100082,0.001691
