t,y
-0.950,0.000
-0.900,0.000
-0.850,0.000
-0.800,0.000
-0.750,0.000
-0.700,0.000
-0.650,0.000
-0.600,0.000
-0.550,0.000
-0.500,0.000
-0.450,0.000
-0.400,0.000
-0.350,0.000
-0.300,0.000
-0.250,0.000
-0.200,0.000
-0.150,0.000
-0.100,0.000
-0.050,0.000
0.000,0.000
0.050,0.000
0.100,0.000
0.150,0.000
0.200,0.000
0.250,0.000
0.300,0.000
0.350,0.000
0.400,0.000
0.450,0.000
0.500,0.000
0.550,0.000
0.600,0.000
0.650,0.000
0.700,0.000
0.750,0.000
0.800,0.000
0.850,0.000
0.900,0.000
0.950,0.000
1.000,0.000
1.050,0.000
1.100,0.001
1.150,0.004
1.200,0.008
1.250,0.013
1.300,0.020
1.350,0.028
1.400,0.039
1.450,0.050
1.500,0.064
1.550,0.079
1.600,0.096
1.650,0.115
1.700,0.137
1.750,0.160
1.800,0.185
1.850,0.213
1.900,0.242
1.950,0.274
2.000,0.309
2.050,0.346
2.100,0.383
2.150,0.419
2.200,0.456
2.250,0.493
2.300,0.529
2.350,0.565
2.400,0.600
2.450,0.635
2.500,0.670
2.550,0.704
2.600,0.737
2.650,0.770
2.700,0.802
2.750,0.833
2.800,0.864
2.850,0.893
2.900,0.921
2.950,0.949
3.000,0.975
3.050,1.000
3.100,1.025
3.150,1.046
3.200,1.063
3.250,1.077
3.300,1.086
3.350,1.092
3.400,1.093
3.450,1.090
3.500,1.082
3.550,1.071
3.600,1.055
3.650,1.035
3.700,1.010
3.750,0.980
3.800,0.946
3.850,0.907
3.900,0.864
3.950,0.816
4.000,0.762
4.050,0.704
4.100,0.641
4.150,0.581
4.200,0.523
4.250,0.467
4.300,0.415
4.350,0.365
4.400,0.318
4.450,0.275
4.500,0.234
4.550,0.196
4.600,0.161
4.650,0.130
4.700,0.101
4.750,0.077
4.800,0.055
4.850,0.037
4.900,0.022
4.950,0.011
5.000,0.004
