 V-tangki(m^3), V-bocor(m^3), waktu(s) 
0.00002,0.00002,0
0.00003,0.00003,0.01
0.00004,0.000039,0.02
0.000049,0.000049,0.03
0.000059,0.000058,0.04
0.000068,0.000067,0.05
0.000077,0.000077,0.06
0.000087,0.000086,0.07
0.000096,0.000095,0.08
0.000105,0.000104,0.09
0.000114,0.000113,0.1
0.000123,0.000122,0.11
0.000132,0.000131,0.12
0.000141,0.00014,0.13
0.00015,0.000149,0.14
0.000159,0.000158,0.15
0.000168,0.000167,0.16
0.000177,0.000176,0.17
0.000186,0.000185,0.18
0.000195,0.000194,0.19
0.000204,0.000202,0.2
0.000212,0.000211,0.21
0.000221,0.00022,0.22
0.00023,0.000229,0.23
0.000239,0.000237,0.24
0.000247,0.000246,0.25
0.000256,0.000255,0.26
0.000265,0.000263,0.27
0.000273,0.000272,0.28
0.000282,0.00028,0.29
0.00029,0.000289,0.3
0.000299,0.000297,0.31
0.000307,0.000306,0.32
0.000316,0.000314,0.33
0.000324,0.000323,0.34
0.000333,0.000331,0.35
0.000341,0.00034,0.36
0.00035,0.000348,0.37
0.000358,0.000356,0.38
0.000366,0.000365,0.39
0.000375,0.000373,0.4
0.000383,0.000381,0.41
0.000391,0.00039,0.42
0.0004,0.000398,0.43
0.000408,0.000406,0.44
0.000416,0.000414,0.45
0.000424,0.000422,0.46
0.000432,0.000431,0.47
0.000441,0.000439,0.48
0.000449,0.000447,0.49
0.000457,0.000455,0.5
0.000465,0.000463,0.51
0.000473,0.000471,0.52
0.000481,0.000479,0.53
0.000489,0.000488,0.54
0.000498,0.000496,0.55
0.000506,0.000504,0.56
0.000514,0.000512,0.57
0.000522,0.00052,0.58
0.00053,0.000528,0.59
0.000538,0.000536,0.6
0.000546,0.000544,0.61
0.000554,0.000552,0.62
0.000562,0.00056,0.63
0.00057,0.000567,0.64
0.000577,0.000575,0.65
0.000585,0.000583,0.66
0.000593,0.000591,0.67
0.000601,0.000599,0.68
0.000609,0.000607,0.69
0.000617,0.000615,0.7
0.000625,0.000623,0.71
0.000633,0.00063,0.72
0.00064,0.000638,0.73
0.000648,0.000646,0.74
0.000656,0.000654,0.75
0.000664,0.000661,0.76
0.000671,0.000669,0.77
0.000679,0.000677,0.78
0.000687,0.000685,0.79
0.000695,0.000692,0.8
0.000702,0.0007,0.81
0.00071,0.000708,0.82
0.000718,0.000715,0.83
0.000725,0.000723,0.84
0.000733,0.000731,0.85
0.000741,0.000738,0.86
0.000748,0.000746,0.87
0.000756,0.000754,0.88
0.000764,0.000761,0.89
0.000771,0.000769,0.9
0.000779,0.000776,0.91
0.000786,0.000784,0.92
0.000794,0.000791,0.93
0.000801,0.000799,0.94
0.000809,0.000806,0.95
0.000816,0.000814,0.96
0.000824,0.000821,0.97
