time;f3
0.000000;0.000000
0.010000;0.000000
0.020000;0.000001
0.030000;0.000002
0.040000;0.000005
0.050000;0.000010
0.060000;0.000018
0.070000;0.000028
0.080000;0.000042
0.090000;0.000060
0.100000;0.000082
0.110000;0.000110
0.120000;0.000143
0.130000;0.000182
0.140000;0.000227
0.150000;0.000280
0.160000;0.000340
0.170000;0.000408
0.180000;0.000485
0.190000;0.000570
0.200000;0.000665
0.210000;0.000770
0.220000;0.000886
0.230000;0.001012
0.240000;0.001150
0.250000;0.001300
0.260000;0.001462
0.270000;0.001638
0.280000;0.001827
0.290000;0.002030
0.300000;0.002247
0.310000;0.002480
0.320000;0.002728
0.330000;0.002992
0.340000;0.003272
0.350000;0.003570
0.360000;0.003885
0.370000;0.004218
0.380000;0.004569
0.390000;0.004940
0.400000;0.005330
0.410000;0.005740
0.420000;0.006171
0.430000;0.006622
0.440000;0.007095
0.450000;0.007590
0.460000;0.008108
0.470000;0.008648
0.480000;0.009212
0.490000;0.009800
0.500000;0.010413
0.510000;0.011050
0.520000;0.011713
0.530000;0.012402
0.540000;0.013118
0.550000;0.013860
0.560000;0.014630
0.570000;0.015428
0.580000;0.016255
0.590000;0.017110
0.600000;0.017995
0.610000;0.018910
0.620000;0.019856
0.630000;0.020832
0.640000;0.021840
0.650000;0.022880
0.660000;0.023953
0.670000;0.025058
0.680000;0.026197
0.690000;0.027370
0.700000;0.028578
0.710000;0.029820
0.720000;0.031098
0.730000;0.032412
0.740000;0.033763
0.750000;0.035150
0.760000;0.036575
0.770000;0.038038
0.780000;0.039540
0.790000;0.041080
0.800000;0.042660
0.810000;0.044280
0.820000;0.045941
0.830000;0.047642
0.840000;0.049385
0.850000;0.051170
0.860000;0.052998
0.870000;0.054868
0.880000;0.056782
0.890000;0.058740
0.900000;0.060743
0.910000;0.062790
0.920000;0.064883
0.930000;0.067022
0.940000;0.069208
0.950000;0.071440
0.960000;0.073720
0.970000;0.076048
0.980000;0.078425
0.990000;0.080850
1.000000;0.083325
1.010000;0.085850
1.020000;0.088425
1.030000;0.091048
1.040000;0.093720
1.050000;0.096440
1.060000;0.099208
1.070000;0.102022
1.080000;0.104883
1.090000;0.107790
1.100000;0.110743
1.110000;0.113740
1.120000;0.116782
1.130000;0.119868
1.140000;0.122998
1.150000;0.126170
1.160000;0.129385
1.170000;0.132642
1.180000;0.135941
1.190000;0.139280
1.200000;0.142660
1.210000;0.146080
1.220000;0.149540
1.230000;0.153038
1.240000;0.156575
1.250000;0.160150
1.260000;0.163763
1.270000;0.167412
1.280000;0.171098
1.290000;0.174820
1.300000;0.178578
1.310000;0.182370
1.320000;0.186197
1.330000;0.190058
1.340000;0.193953
1.350000;0.197880
1.360000;0.201840
1.370000;0.205832
1.380000;0.209856
1.390000;0.213910
1.400000;0.217995
1.410000;0.222110
1.420000;0.226255
1.430000;0.230428
1.440000;0.234630
1.450000;0.238860
1.460000;0.243118
1.470000;0.247402
1.480000;0.251713
1.490000;0.256050
1.500000;0.260413
1.510000;0.264800
1.520000;0.269212
1.530000;0.273648
1.540000;0.278108
1.550000;0.282590
1.560000;0.287095
1.570000;0.291622
1.580000;0.296171
1.590000;0.300740
1.600000;0.305330
1.610000;0.309940
1.620000;0.314570
1.630000;0.319218
1.640000;0.323885
1.650000;0.328570
1.660000;0.333273
1.670000;0.337992
1.680000;0.342728
1.690000;0.347480
1.700000;0.352248
1.710000;0.357030
1.720000;0.361827
1.730000;0.366638
1.740000;0.371463
1.750000;0.376300
1.760000;0.381150
1.770000;0.386012
1.780000;0.390886
1.790000;0.395770
1.800000;0.400665
1.810000;0.405570
1.820000;0.410485
1.830000;0.415408
1.840000;0.420340
1.850000;0.425280
1.860000;0.430228
1.870000;0.435182
1.880000;0.440143
1.890000;0.445110
1.900000;0.450083
1.910000;0.455060
1.920000;0.460042
1.930000;0.465028
1.940000;0.470018
1.950000;0.475010
1.960000;0.480005
1.970000;0.485002
1.980000;0.490001
1.990000;0.495000
2.000000;0.500000
2.010000;0.505000
2.020000;0.509900
2.030000;0.514698
2.040000;0.519395
2.050000;0.523990
2.060000;0.528483
2.070000;0.532872
2.080000;0.537158
2.090000;0.541340
2.100000;0.545418
2.110000;0.549390
2.120000;0.553257
2.130000;0.557018
2.140000;0.560673
2.150000;0.564220
2.160000;0.567660
2.170000;0.570992
2.180000;0.574216
2.190000;0.577330
2.200000;0.580335
2.210000;0.583230
2.220000;0.586015
2.230000;0.588688
2.240000;0.591250
2.250000;0.593700
2.260000;0.596038
2.270000;0.598262
2.280000;0.600373
2.290000;0.602370
2.300000;0.604253
2.310000;0.606020
2.320000;0.607672
2.330000;0.609208
2.340000;0.610628
2.350000;0.611930
2.360000;0.613115
2.370000;0.614182
2.380000;0.615131
2.390000;0.615960
2.400000;0.616670
2.410000;0.617260
2.420000;0.617730
2.430000;0.618078
2.440000;0.618305
2.450000;0.618410
2.460000;0.618393
2.470000;0.618252
2.480000;0.617988
2.490000;0.617600
2.500000;0.617088
2.510000;0.616450
2.520000;0.615687
2.530000;0.614798
2.540000;0.613783
2.550000;0.612640
2.560000;0.611370
2.570000;0.609972
2.580000;0.608446
2.590000;0.606790
2.600000;0.605005
2.610000;0.603090
2.620000;0.601045
2.630000;0.598868
2.640000;0.596560
2.650000;0.594120
2.660000;0.591548
2.670000;0.588842
2.680000;0.586003
2.690000;0.583030
2.700000;0.579923
2.710000;0.576680
2.720000;0.573302
2.730000;0.569788
2.740000;0.566138
2.750000;0.562350
2.760000;0.558425
2.770000;0.554362
2.780000;0.550161
2.790000;0.545820
2.800000;0.541340
2.810000;0.536720
2.820000;0.531960
2.830000;0.527058
2.840000;0.522015
2.850000;0.516830
2.860000;0.511503
2.870000;0.506032
2.880000;0.500418
2.890000;0.494660
2.900000;0.488758
2.910000;0.482710
2.920000;0.476517
2.930000;0.470178
2.940000;0.463693
2.950000;0.457060
2.960000;0.450280
2.970000;0.443352
2.980000;0.436276
2.990000;0.429050
3.000000;0.421675
3.010000;0.414150
3.020000;0.406676
3.030000;0.399252
3.040000;0.391880
3.050000;0.384560
3.060000;0.377293
3.070000;0.370078
3.080000;0.362917
3.090000;0.355810
3.100000;0.348758
3.110000;0.341760
3.120000;0.334818
3.130000;0.327932
3.140000;0.321103
3.150000;0.314330
3.160000;0.307615
3.170000;0.300958
3.180000;0.294360
3.190000;0.287820
3.200000;0.281340
3.210000;0.274920
3.220000;0.268561
3.230000;0.262262
3.240000;0.256025
3.250000;0.249850
3.260000;0.243738
3.270000;0.237688
3.280000;0.231702
3.290000;0.225780
3.300000;0.219923
3.310000;0.214130
3.320000;0.208403
3.330000;0.202742
3.340000;0.197148
3.350000;0.191620
3.360000;0.186160
3.370000;0.180768
3.380000;0.175445
3.390000;0.170190
3.400000;0.165005
3.410000;0.159890
3.420000;0.154846
3.430000;0.149872
3.440000;0.144970
3.450000;0.140140
3.460000;0.135383
3.470000;0.130698
3.480000;0.126087
3.490000;0.121550
3.500000;0.117088
3.510000;0.112700
3.520000;0.108388
3.530000;0.104152
3.540000;0.099993
3.550000;0.095910
3.560000;0.091905
3.570000;0.087978
3.580000;0.084130
3.590000;0.080360
3.600000;0.076670
3.610000;0.073060
3.620000;0.069531
3.630000;0.066082
3.640000;0.062715
3.650000;0.059430
3.660000;0.056228
3.670000;0.053108
3.680000;0.050072
3.690000;0.047120
3.700000;0.044253
3.710000;0.041470
3.720000;0.038773
3.730000;0.036162
3.740000;0.033638
3.750000;0.031200
3.760000;0.028850
3.770000;0.026588
3.780000;0.024415
3.790000;0.022330
3.800000;0.020335
3.810000;0.018430
3.820000;0.016616
3.830000;0.014892
3.840000;0.013260
3.850000;0.011720
3.860000;0.010273
3.870000;0.008918
3.880000;0.007657
3.890000;0.006490
3.900000;0.005418
3.910000;0.004440
3.920000;0.003558
3.930000;0.002772
3.940000;0.002083
3.950000;0.001490
3.960000;0.000995
3.970000;0.000598
3.980000;0.000300
3.990000;0.000100
4.000000;0.000000
